Date_assay,Batch,Session,Session_order,Unit,Assay,Assay_ID_complex,Assay_ID,Operator,Time
31/5/2022,1,M,1,U4,ymaze_P1,1_M_1_U4_ymaze_P1,Y001,PP,10:00
31/5/2022,1,M,1,U3,ymaze_P2,1_M_1_U3_ymaze_P2,Y002,PP,10:00
31/5/2022,1,M,1,U2,ymaze_P3,1_M_1_U2_ymaze_P3,Y003,PP,10:00
31/5/2022,1,M,2,U1,locomotion,1_M_2_U1_locomotion,W001,EM,9:58
31/5/2022,1,M,3,U1,habituation,1_M_3_U1_habituation,W002,EM,10:34
31/5/2022,1,M,1,U1,locomotion,1_M_1_U1_locomotion,W003,PP,11:25
31/5/2022,1,M,2,U1,habituation,1_M_2_U1_habituation,W004,PP,12:00
31/5/2022,1,M,3,U4,ymaze_P1,1_M_3_U4_ymaze_P1,Y004,EM,11:04
31/5/2022,1,M,3,U3,ymaze_P2,1_M_3_U3_ymaze_P2,Y005,EM,11:04
31/5/2022,1,M,3,U2,ymaze_P3,1_M_3_U2_ymaze_P3,Y006,EM,11:04
31/5/2022,1,A,1,U4,ymaze_P1,1_A_1_U4_ymaze_P1,Y007,EM,13:46
31/5/2022,1,A,1,U3,ymaze_P2,1_A_1_U3_ymaze_P2,Y008,EM,13:46
31/5/2022,1,A,1,U2,ymaze_P3,1_A_1_U2_ymaze_P3,Y009,EM,13:46
31/5/2022,1,A,2,U1,locomotion,1_A_2_U1_locomotion,W005,EM,14:57
31/5/2022,1,A,3,U1,habituation,1_A_3_U1_habituation,W006,EM,15:34
31/5/2022,1,A,1,U1,locomotion,1_A_1_U1_locomotion,W007,PP,13:45
31/5/2022,1,A,2,U1,habituation,1_A_2_U1_habituation,W008,PP,14:18
31/5/2022,1,A,3,U4,ymaze_P1,1_A_3_U4_ymaze_P1,Y010,PP,14:59
31/5/2022,1,A,3,U2,ymaze_P2,1_A_3_U2_ymaze_P2,Y011,PP,14:59
31/5/2022,1,A,3,U3,ymaze_P3,1_A_3_U3_ymaze_P3,Y012,PP,14:59
1/6/2022,2,M,1,U4,ymaze_P1,2_M_1_U4_ymaze_P1,Y013,EM,10:01
1/6/2022,2,M,1,U3,ymaze_P2,2_M_1_U3_ymaze_P2,Y014,EM,10:01
1/6/2022,2,M,1,U2,ymaze_P3,2_M_1_U2_ymaze_P3,Y015,EM,10:01
1/6/2022,2,M,2,U1,locomotion,2_M_2_U1_locomotion,W009,EM,11:16
1/6/2022,2,M,3,U1,habituation,2_M_3_U1_habituation,W010,EM,11:57
1/6/2022,2,M,1,U1,locomotion,2_M_1_U1_locomotion,W011,PP,10:02
1/6/2022,2,M,2,U1,habituation,2_M_2_U1_habituation,W012,PP,10:33
1/6/2022,2,M,3,U4,ymaze_P1,2_M_3_U4_ymaze_P1,Y016,PP,11:12
1/6/2022,2,M,3,U3,ymaze_P2,2_M_3_U3_ymaze_P2,Y017,PP,11:12
1/6/2022,2,M,3,U2,ymaze_P3,2_M_3_U2_ymaze_P3,Y018,PP,11:12
1/6/2022,2,A,1,U4,ymaze_P1,2_A_1_U4_ymaze_P1,Y019,PP,14:05
