"X","Individual_ID","Datafile_ID","temperature","round","arena_distance","Date","ID","Batch","Session","Assay_name","Assay_ID","Treatment","Sex","Treatment_Sex","Position","Comment","Exclude_mean","Exclude_correlation"
1,"W001_A1","W001",30.05,1,508.6,"2022-05-31",43,1,"M","Locomotion","W001","GS","F","GS-F","A1","Ran at 30 - exclude","exclude","exclude"
2,"W001_A2","W001",30.05,1,581.9,"2022-05-31",44,1,"M","Locomotion","W001","GS","F","GS-F","A2","Ran at 30 - exclude","exclude","exclude"
3,"W001_A3","W001",30.05,1,427.8,"2022-05-31",45,1,"M","Locomotion","W001","GS","F","GS-F","A3","Ran at 30 - exclude","exclude","exclude"
4,"W001_A4","W001",30.05,1,181.6,"2022-05-31",46,1,"M","Locomotion","W001","GS","F","GS-F","A4","Ran at 30 - exclude","exclude","exclude"
5,"W001_A5","W001",30.05,1,291.6,"2022-05-31",47,1,"M","Locomotion","W001","GS","F","GS-F","A5","Ran at 30 - exclude","exclude","exclude"
6,"W001_A6","W001",30.05,1,480.3,"2022-05-31",48,1,"M","Locomotion","W001","GS","F","GS-F","A6","Ran at 30 - exclude","exclude","exclude"
7,"W001_A7","W001",30.05,1,204.5,"2022-05-31",49,1,"M","Locomotion","W001","GS","F","GS-F","A7","Ran at 30 - exclude","exclude","exclude"
8,"W001_A8","W001",30.05,1,511.3,"2022-05-31",50,1,"M","Locomotion","W001","GS","M","GS-M","A8","Ran at 30 - exclude","exclude","exclude"
9,"W001_B1","W001",30.05,1,3119,"2022-05-31",51,1,"M","Locomotion","W001","GS","M","GS-M","B1","Ran at 30 - exclude","exclude","exclude"
10,"W001_B2","W001",30.05,1,631.1,"2022-05-31",52,1,"M","Locomotion","W001","GS","M","GS-M","B2","Ran at 30 - exclude","exclude","exclude"
11,"W001_B3","W001",30.05,1,215.7,"2022-05-31",53,1,"M","Locomotion","W001","GS","M","GS-M","B3","Ran at 30 - exclude","exclude","exclude"
12,"W001_B4","W001",30.05,1,17.7,"2022-05-31",54,1,"M","Locomotion","W001","GS","M","GS-M","B4","Ran at 30 - exclude","exclude","exclude"
13,"W001_B5","W001",30.05,1,67.1,"2022-05-31",55,1,"M","Locomotion","W001","GS","M","GS-M","B5","Ran at 30 - exclude","exclude","exclude"
14,"W001_B6","W001",30.05,1,229.4,"2022-05-31",56,1,"M","Locomotion","W001","GS","M","GS-M","B6","Ran at 30 - exclude","exclude","exclude"
15,"W001_B7","W001",30.05,1,16.1,"2022-05-31",57,1,"M","Locomotion","W001","GM","F","GM-F","B7","Ran at 30 - exclude","exclude","exclude"
16,"W001_B8","W001",30.05,1,78.9,"2022-05-31",58,1,"M","Locomotion","W001","GM","F","GM-F","B8","Ran at 30 - exclude","exclude","exclude"
17,"W001_C1","W001",30.05,1,84.1,"2022-05-31",59,1,"M","Locomotion","W001","GM","F","GM-F","C1","Ran at 30 - exclude","exclude","exclude"
18,"W001_C2","W001",30.05,1,470.7,"2022-05-31",60,1,"M","Locomotion","W001","GM","F","GM-F","C2","Ran at 30 - exclude","exclude","exclude"
19,"W001_C3","W001",30.05,1,36.3,"2022-05-31",61,1,"M","Locomotion","W001","GM","F","GM-F","C3","Ran at 30 - exclude","exclude","exclude"
20,"W001_C4","W001",30.05,1,191.4,"2022-05-31",62,1,"M","Locomotion","W001","GM","F","GM-F","C4","Ran at 30 - exclude","exclude","exclude"
21,"W001_C5","W001",30.05,1,72.3,"2022-05-31",63,1,"M","Locomotion","W001","GM","F","GM-F","C5","Ran at 30 - exclude","exclude","exclude"
22,"W001_C6","W001",30.05,1,654.7,"2022-05-31",64,1,"M","Locomotion","W001","I","M","I-M","C6","Ran at 30 - exclude","exclude","exclude"
23,"W001_C7","W001",30.05,1,67.5,"2022-05-31",65,1,"M","Locomotion","W001","I","M","I-M","C7","Ran at 30 - exclude","exclude","exclude"
24,"W001_C8","W001",30.05,1,374.1,"2022-05-31",66,1,"M","Locomotion","W001","I","M","I-M","C8","Ran at 30 - exclude","exclude","exclude"
25,"W001_D1","W001",30.05,1,155.6,"2022-05-31",67,1,"M","Locomotion","W001","I","M","I-M","D1","Ran at 30 - exclude","exclude","exclude"
26,"W001_D2","W001",30.05,1,1882.5,"2022-05-31",68,1,"M","Locomotion","W001","I","M","I-M","D2","Ran at 30 - exclude","exclude","exclude"
