"Datafile_ID","time_bin","Block","Trial","Type","pre_post_counter","startle_number","Well","distance","activity","Individual_ID","Date","ID","Batch","Session","Assay_name","Assay_ID","Treatment","Sex","Treatment_Sex","Position","Comment","Exclude_mean","Exclude_correlation"
"W004",10,"1",7,"STARTLE",0,1,"A1",0,0,"W004_A1",2022-05-31,1,1,"M","Habituation","W004","GS","F","GS-F","A1",NA,"keep","keep"
"W004",12,"1",9,"STARTLE",0,2,"A1",0,0,"W004_A1",2022-05-31,1,1,"M","Habituation","W004","GS","F","GS-F","A1",NA,"keep","keep"
"W004",14,"1",11,"STARTLE",0,3,"A1",0,0,"W004_A1",2022-05-31,1,1,"M","Habituation","W004","GS","F","GS-F","A1",NA,"keep","keep"
"W008",10,"1",7,"STARTLE",0,1,"A1",0,0,"W008_A1",2022-05-31,127,1,"A","Habituation","W008","I","F","I-F","A1","seems weak","keep","keep"
"W008",12,"1",9,"STARTLE",0,2,"A1",0,0,"W008_A1",2022-05-31,127,1,"A","Habituation","W008","I","F","I-F","A1","seems weak","keep","keep"
"W008",14,"1",11,"STARTLE",0,3,"A1",0,0.002,"W008_A1",2022-05-31,127,1,"A","Habituation","W008","I","F","I-F","A1","seems weak","keep","keep"
"W006",10,"1",7,"STARTLE",0,1,"A1",0,0,"W006_A1",2022-05-31,85,1,"A","Habituation","W006","I","F","I-F","A1",NA,"keep","keep"
"W006",12,"1",9,"STARTLE",0,2,"A1",0,0,"W006_A1",2022-05-31,85,1,"A","Habituation","W006","I","F","I-F","A1",NA,"keep","keep"
"W006",14,"1",11,"STARTLE",0,3,"A1",0,0,"W006_A1",2022-05-31,85,1,"A","Habituation","W006","I","F","I-F","A1",NA,"keep","keep"
"W012",10,"1",7,"STARTLE",0,1,"A1",0,0,"W012_A1",2022-06-01,211,1,"M","Habituation","W012","I","M","I-M","A1",NA,"keep","keep"
"W012",12,"1",9,"STARTLE",0,2,"A1",0,0,"W012_A1",2022-06-01,211,1,"M","Habituation","W012","I","M","I-M","A1",NA,"keep","keep"
"W012",14,"1",11,"STARTLE",0,3,"A1",0,0,"W012_A1",2022-06-01,211,1,"M","Habituation","W012","I","M","I-M","A1",NA,"keep","keep"
"W010",10,"1",7,"STARTLE",0,1,"A1",0,0,"W010_A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W010",12,"1",9,"STARTLE",0,2,"A1",0,0,"W010_A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W010",14,"1",11,"STARTLE",0,3,"A1",0,0,"W010_A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W016",10,"1",7,"STARTLE",0,1,"A1",0,0,"W016_A1",2022-06-01,295,2,"A","Habituation","W016","GM","F","GM-F","A1",NA,"keep","keep"
"W016",12,"1",9,"STARTLE",0,2,"A1",0,0,"W016_A1",2022-06-01,295,2,"A","Habituation","W016","GM","F","GM-F","A1",NA,"keep","keep"
"W016",14,"1",11,"STARTLE",0,3,"A1",0,0,"W016_A1",2022-06-01,295,2,"A","Habituation","W016","GM","F","GM-F","A1",NA,"keep","keep"
"W014",10,"1",7,"STARTLE",0,1,"A1",0,0,"W014_A1",2022-06-01,253,2,"A","Habituation","W014","I","M","I-M","A1",NA,"keep","keep"
"W014",12,"1",9,"STARTLE",0,2,"A1",0,0,"W014_A1",2022-06-01,253,2,"A","Habituation","W014","I","M","I-M","A1",NA,"keep","keep"
"W014",14,"1",11,"STARTLE",0,3,"A1",0,0,"W014_A1",2022-06-01,253,2,"A","Habituation","W014","I","M","I-M","A1",NA,"keep","keep"
"W020",10,"1",7,"STARTLE",0,1,"A1",0,0,"W020_A1",2022-06-07,379,3,"M","Habituation","W020","GM","F","GM-F","A1",NA,"keep","keep"
"W020",12,"1",9,"STARTLE",0,2,"A1",0,0,"W020_A1",2022-06-07,379,3,"M","Habituation","W020","GM","F","GM-F","A1",NA,"keep","keep"
"W020",14,"1",11,"STARTLE",0,3,"A1",0,0,"W020_A1",2022-06-07,379,3,"M","Habituation","W020","GM","F","GM-F","A1",NA,"keep","keep"
"W018",10,"1",7,"STARTLE",0,1,"A1",0,0,"W018_A1",2022-06-07,337,3,"M","Habituation","W018","I","M","I-M","A1",NA,"keep","keep"
"W018",12,"1",9,"STARTLE",0,2,"A1",3.2,0.002,"W018_A1",2022-06-07,337,3,"M","Habituation","W018","I","M","I-M","A1",NA,"keep","keep"
"W018",14,"1",11,"STARTLE",0,3,"A1",7.8,0.01,"W018_A1",2022-06-07,337,3,"M","Habituation","W018","I","M","I-M","A1",NA,"keep","keep"
"W024",10,"1",7,"STARTLE",0,1,"A1",0,0,"W024_A1",2022-06-07,463,3,"A","Habituation","W024","GM","F","GM-F","A1",NA,"keep","keep"
"W024",12,"1",9,"STARTLE",0,2,"A1",0,0,"W024_A1",2022-06-07,463,3,"A","Habituation","W024","GM","F","GM-F","A1",NA,"keep","keep"
"W024",14,"1",11,"STARTLE",0,3,"A1",0,0,"W024_A1",2022-06-07,463,3,"A","Habituation","W024","GM","F","GM-F","A1",NA,"keep","keep"
"W022",10,"1",7,"STARTLE",0,1,"A1",11.2,0.028,"W022_A1",2022-06-07,421,3,"A","Habituation","W022","I","F","I-F","A1",NA,"keep","keep"
"W022",12,"1",9,"STARTLE",0,2,"A1",3.1,0.049,"W022_A1",2022-06-07,421,3,"A","Habituation","W022","I","F","I-F","A1",NA,"keep","keep"
"W022",14,"1",11,"STARTLE",0,3,"A1",0,0,"W022_A1",2022-06-07,421,3,"A","Habituation","W022","I","F","I-F","A1",NA,"keep","keep"
"W028",10,"1",7,"STARTLE",0,1,"A1",0,0,"W028_A1",2022-06-08,547,4,"M","Habituation","W028","GM","F","GM-F","A1",NA,"keep","keep"
"W028",12,"1",9,"STARTLE",0,2,"A1",0,0,"W028_A1",2022-06-08,547,4,"M","Habituation","W028","GM","F","GM-F","A1",NA,"keep","keep"
"W028",14,"1",11,"STARTLE",0,3,"A1",0,0,"W028_A1",2022-06-08,547,4,"M","Habituation","W028","GM","F","GM-F","A1",NA,"keep","keep"
"W026",10,"1",7,"STARTLE",0,1,"A1",0,0,"W026_A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W026",12,"1",9,"STARTLE",0,2,"A1",0,0,"W026_A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W026",14,"1",11,"STARTLE",0,3,"A1",0,0,"W026_A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W032",10,"1",7,"STARTLE",0,1,"A1",0,0,"W032_A1",2022-06-08,631,4,"A","Habituation","W032","GS","F","GS-F","A1",NA,"keep","keep"
"W032",12,"1",9,"STARTLE",0,2,"A1",0,0,"W032_A1",2022-06-08,631,4,"A","Habituation","W032","GS","F","GS-F","A1",NA,"keep","keep"
"W032",14,"1",11,"STARTLE",0,3,"A1",0,0,"W032_A1",2022-06-08,631,4,"A","Habituation","W032","GS","F","GS-F","A1",NA,"keep","keep"
"W030",10,"1",7,"STARTLE",0,1,"A1",0,0,"W030_A1",2022-06-08,589,4,"A","Habituation","W030","I","M","I-M","A1",NA,"keep","keep"
"W030",12,"1",9,"STARTLE",0,2,"A1",8.1,0.04,"W030_A1",2022-06-08,589,4,"A","Habituation","W030","I","M","I-M","A1",NA,"keep","keep"
"W030",14,"1",11,"STARTLE",0,3,"A1",1.5,0,"W030_A1",2022-06-08,589,4,"A","Habituation","W030","I","M","I-M","A1",NA,"keep","keep"
"W036",10,"1",7,"STARTLE",0,1,"A1",0,0,"W036_A1",2022-06-14,715,5,"M","Habituation","W036","I","F","I-F","A1",NA,"keep","keep"
"W036",12,"1",9,"STARTLE",0,2,"A1",0,0,"W036_A1",2022-06-14,715,5,"M","Habituation","W036","I","F","I-F","A1",NA,"keep","keep"
"W036",14,"1",11,"STARTLE",0,3,"A1",0,0,"W036_A1",2022-06-14,715,5,"M","Habituation","W036","I","F","I-F","A1",NA,"keep","keep"
"W034",10,"1",7,"STARTLE",0,1,"A1",0,0,"W034_A1",2022-06-14,673,5,"M","Habituation","W034","I","F","I-F","A1",NA,"keep","keep"
"W034",12,"1",9,"STARTLE",0,2,"A1",0,0,"W034_A1",2022-06-14,673,5,"M","Habituation","W034","I","F","I-F","A1",NA,"keep","keep"
"W034",14,"1",11,"STARTLE",0,3,"A1",0,0,"W034_A1",2022-06-14,673,5,"M","Habituation","W034","I","F","I-F","A1",NA,"keep","keep"
"W040",10,"1",7,"STARTLE",0,1,"A1",0,0,"W040_A1",2022-06-14,799,5,"A","Habituation","W040","GM","F","GM-F","A1",NA,"keep","keep"
"W040",12,"1",9,"STARTLE",0,2,"A1",0,0,"W040_A1",2022-06-14,799,5,"A","Habituation","W040","GM","F","GM-F","A1",NA,"keep","keep"
"W040",14,"1",11,"STARTLE",0,3,"A1",0,0,"W040_A1",2022-06-14,799,5,"A","Habituation","W040","GM","F","GM-F","A1",NA,"keep","keep"
"W038",10,"1",7,"STARTLE",0,1,"A1",0,0,"W038_A1",2022-06-14,757,5,"A","Habituation","W038","I","M","I-M","A1",NA,"keep","keep"
"W038",12,"1",9,"STARTLE",0,2,"A1",0,0,"W038_A1",2022-06-14,757,5,"A","Habituation","W038","I","M","I-M","A1",NA,"keep","keep"
"W038",14,"1",11,"STARTLE",0,3,"A1",0,0,"W038_A1",2022-06-14,757,5,"A","Habituation","W038","I","M","I-M","A1",NA,"keep","keep"
"W044",10,"1",7,"STARTLE",0,1,"A1",0,0,"W044_A1",2022-06-16,883,6,"M","Habituation","W044","GS","F","GS-F","A1",NA,"keep","keep"
"W044",12,"1",9,"STARTLE",0,2,"A1",0,0,"W044_A1",2022-06-16,883,6,"M","Habituation","W044","GS","F","GS-F","A1",NA,"keep","keep"
"W044",14,"1",11,"STARTLE",0,3,"A1",0,0,"W044_A1",2022-06-16,883,6,"M","Habituation","W044","GS","F","GS-F","A1",NA,"keep","keep"
"W042",10,"1",7,"STARTLE",0,1,"A1",0,0,"W042_A1",2022-06-16,841,6,"M","Habituation","W042","GM","F","GM-F","A1",NA,"keep","keep"
"W042",12,"1",9,"STARTLE",0,2,"A1",0,0,"W042_A1",2022-06-16,841,6,"M","Habituation","W042","GM","F","GM-F","A1",NA,"keep","keep"
"W042",14,"1",11,"STARTLE",0,3,"A1",0,0,"W042_A1",2022-06-16,841,6,"M","Habituation","W042","GM","F","GM-F","A1",NA,"keep","keep"
"W048",10,"1",7,"STARTLE",0,1,"A1",0,0,"W048_A1",2022-06-16,967,6,"A","Habituation","W048","I","M","I-M","A1",NA,"keep","keep"
"W048",12,"1",9,"STARTLE",0,2,"A1",0,0,"W048_A1",2022-06-16,967,6,"A","Habituation","W048","I","M","I-M","A1",NA,"keep","keep"
"W048",14,"1",11,"STARTLE",0,3,"A1",0,0,"W048_A1",2022-06-16,967,6,"A","Habituation","W048","I","M","I-M","A1",NA,"keep","keep"
"W046",10,"1",7,"STARTLE",0,1,"A1",0,0,"W046_A1",2022-06-16,925,6,"A","Habituation","W046","I","F","I-F","A1",NA,"keep","keep"
"W046",12,"1",9,"STARTLE",0,2,"A1",0,0,"W046_A1",2022-06-16,925,6,"A","Habituation","W046","I","F","I-F","A1",NA,"keep","keep"
"W046",14,"1",11,"STARTLE",0,3,"A1",0,0,"W046_A1",2022-06-16,925,6,"A","Habituation","W046","I","F","I-F","A1",NA,"keep","keep"
"W002",10,"1",7,"STARTLE",0,1,"A1",0,0,"W002_A1",2022-05-31,43,1,"M","Habituation","W002","GS","F","GS-F","A1","Ran at 30 - exclude","exclude","exclude"
