Datafile_ID,time_bin,Block,Trial,Type,pre_post_counter,startle_number,Well,distance,activity,Individual_ID,Date,ID,Batch,Session,Assay_name,Assay_ID,Treatment,Sex,Treatment_Sex,Position,Comment,Exclude_mean,Exclude_correlation
W002,10,1,7,STARTLE,0,1,A2,5.1,0.002,W002_A2,31/05/2022,44,1,M,Habituation,W002,GS,F,GS-F,A2,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,A2,1.5,0.001,W002_A2,31/05/2022,44,1,M,Habituation,W002,GS,F,GS-F,A2,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,A2,1.9,0.002,W002_A2,31/05/2022,44,1,M,Habituation,W002,GS,F,GS-F,A2,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,A3,4.6,0.061,W002_A3,31/05/2022,45,1,M,Habituation,W002,GS,F,GS-F,A3,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,A3,8.5,0.052,W002_A3,31/05/2022,45,1,M,Habituation,W002,GS,F,GS-F,A3,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,A3,10.2,0.165,W002_A3,31/05/2022,45,1,M,Habituation,W002,GS,F,GS-F,A3,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,A4,0,0,W002_A4,31/05/2022,46,1,M,Habituation,W002,GS,F,GS-F,A4,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,A4,4.7,0.003,W002_A4,31/05/2022,46,1,M,Habituation,W002,GS,F,GS-F,A4,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,A4,1.7,0,W002_A4,31/05/2022,46,1,M,Habituation,W002,GS,F,GS-F,A4,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,A5,11.8,0.301,W002_A5,31/05/2022,47,1,M,Habituation,W002,GS,F,GS-F,A5,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,A5,9.6,0.08,W002_A5,31/05/2022,47,1,M,Habituation,W002,GS,F,GS-F,A5,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,A5,13.8,0.223,W002_A5,31/05/2022,47,1,M,Habituation,W002,GS,F,GS-F,A5,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,A6,6.1,0.045,W002_A6,31/05/2022,48,1,M,Habituation,W002,GS,F,GS-F,A6,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,A6,9.3,0.13,W002_A6,31/05/2022,48,1,M,Habituation,W002,GS,F,GS-F,A6,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,A6,0,0,W002_A6,31/05/2022,48,1,M,Habituation,W002,GS,F,GS-F,A6,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,A7,5.6,0.01,W002_A7,31/05/2022,49,1,M,Habituation,W002,GS,F,GS-F,A7,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,A7,1.6,0,W002_A7,31/05/2022,49,1,M,Habituation,W002,GS,F,GS-F,A7,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,A7,3.2,0,W002_A7,31/05/2022,49,1,M,Habituation,W002,GS,F,GS-F,A7,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,A8,14.1,0.013,W002_A8,31/05/2022,50,1,M,Habituation,W002,GS,M,GS-M,A8,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,A8,17.4,0.047,W002_A8,31/05/2022,50,1,M,Habituation,W002,GS,M,GS-M,A8,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,A8,15.3,0.099,W002_A8,31/05/2022,50,1,M,Habituation,W002,GS,M,GS-M,A8,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,B1,0,0,W002_B1,31/05/2022,51,1,M,Habituation,W002,GS,M,GS-M,B1,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,B1,12.9,0.043,W002_B1,31/05/2022,51,1,M,Habituation,W002,GS,M,GS-M,B1,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,B1,6.2,0.007,W002_B1,31/05/2022,51,1,M,Habituation,W002,GS,M,GS-M,B1,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,B2,14.4,0.116,W002_B2,31/05/2022,52,1,M,Habituation,W002,GS,M,GS-M,B2,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,B2,0,0,W002_B2,31/05/2022,52,1,M,Habituation,W002,GS,M,GS-M,B2,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,B2,12.1,0.101,W002_B2,31/05/2022,52,1,M,Habituation,W002,GS,M,GS-M,B2,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,B3,3.2,0,W002_B3,31/05/2022,53,1,M,Habituation,W002,GS,M,GS-M,B3,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,B3,7.9,0.013,W002_B3,31/05/2022,53,1,M,Habituation,W002,GS,M,GS-M,B3,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,B3,7.7,0.02,W002_B3,31/05/2022,53,1,M,Habituation,W002,GS,M,GS-M,B3,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,B4,0,0,W002_B4,31/05/2022,54,1,M,Habituation,W002,GS,M,GS-M,B4,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,B4,0,0.001,W002_B4,31/05/2022,54,1,M,Habituation,W002,GS,M,GS-M,B4,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,B4,3.2,0,W002_B4,31/05/2022,54,1,M,Habituation,W002,GS,M,GS-M,B4,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,B5,15.1,0.074,W002_B5,31/05/2022,55,1,M,Habituation,W002,GS,M,GS-M,B5,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,B5,12.9,0.056,W002_B5,31/05/2022,55,1,M,Habituation,W002,GS,M,GS-M,B5,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,B5,16.6,0.058,W002_B5,31/05/2022,55,1,M,Habituation,W002,GS,M,GS-M,B5,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,B6,12,0.02,W002_B6,31/05/2022,56,1,M,Habituation,W002,GS,M,GS-M,B6,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,B6,7.8,0.011,W002_B6,31/05/2022,56,1,M,Habituation,W002,GS,M,GS-M,B6,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,B6,12.6,0.127,W002_B6,31/05/2022,56,1,M,Habituation,W002,GS,M,GS-M,B6,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,B7,11.5,0.003,W002_B7,31/05/2022,57,1,M,Habituation,W002,GM,F,GM-F,B7,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,B7,1.4,0,W002_B7,31/05/2022,57,1,M,Habituation,W002,GM,F,GM-F,B7,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,B7,1.5,0,W002_B7,31/05/2022,57,1,M,Habituation,W002,GM,F,GM-F,B7,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,B8,3,0,W002_B8,31/05/2022,58,1,M,Habituation,W002,GM,F,GM-F,B8,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,B8,1.7,0,W002_B8,31/05/2022,58,1,M,Habituation,W002,GM,F,GM-F,B8,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,B8,4.6,0,W002_B8,31/05/2022,58,1,M,Habituation,W002,GM,F,GM-F,B8,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,C1,10.8,0.008,W002_C1,31/05/2022,59,1,M,Habituation,W002,GM,F,GM-F,C1,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,C1,0,0,W002_C1,31/05/2022,59,1,M,Habituation,W002,GM,F,GM-F,C1,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,C1,0,0,W002_C1,31/05/2022,59,1,M,Habituation,W002,GM,F,GM-F,C1,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,C4,10.8,0.095,W002_C4,31/05/2022,62,1,M,Habituation,W002,GM,F,GM-F,C4,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,C4,5,0.018,W002_C4,31/05/2022,62,1,M,Habituation,W002,GM,F,GM-F,C4,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,C4,7,0.061,W002_C4,31/05/2022,62,1,M,Habituation,W002,GM,F,GM-F,C4,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,C6,6.6,0.012,W002_C6,31/05/2022,64,1,M,Habituation,W002,I,M,I-M,C6,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,C6,1.5,0,W002_C6,31/05/2022,64,1,M,Habituation,W002,I,M,I-M,C6,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,C6,0,0,W002_C6,31/05/2022,64,1,M,Habituation,W002,I,M,I-M,C6,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,C8,1.7,0.007,W002_C8,31/05/2022,66,1,M,Habituation,W002,I,M,I-M,C8,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,C8,0,0,W002_C8,31/05/2022,66,1,M,Habituation,W002,I,M,I-M,C8,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,C8,0,0,W002_C8,31/05/2022,66,1,M,Habituation,W002,I,M,I-M,C8,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,D2,1.9,0.004,W002_D2,31/05/2022,68,1,M,Habituation,W002,I,M,I-M,D2,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,D2,6.4,0.036,W002_D2,31/05/2022,68,1,M,Habituation,W002,I,M,I-M,D2,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,D2,15.3,0.121,W002_D2,31/05/2022,68,1,M,Habituation,W002,I,M,I-M,D2,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,D4,14.4,0.069,W002_D4,31/05/2022,70,1,M,Habituation,W002,I,M,I-M,D4,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,D4,16.7,0.096,W002_D4,31/05/2022,70,1,M,Habituation,W002,I,M,I-M,D4,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,D4,12.5,0.094,W002_D4,31/05/2022,70,1,M,Habituation,W002,I,M,I-M,D4,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,D5,0,0,W002_D5,31/05/2022,71,1,M,Habituation,W002,I,F,I-F,D5,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,D5,2.9,0.025,W002_D5,31/05/2022,71,1,M,Habituation,W002,I,F,I-F,D5,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,D5,1.5,0,W002_D5,31/05/2022,71,1,M,Habituation,W002,I,F,I-F,D5,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,D6,0,0,W002_D6,31/05/2022,72,1,M,Habituation,W002,I,F,I-F,D6,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,D6,7.9,0.028,W002_D6,31/05/2022,72,1,M,Habituation,W002,I,F,I-F,D6,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,D6,4.7,0.018,W002_D6,31/05/2022,72,1,M,Habituation,W002,I,F,I-F,D6,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,D7,11.9,0.085,W002_D7,31/05/2022,73,1,M,Habituation,W002,I,F,I-F,D7,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,D7,0,0,W002_D7,31/05/2022,73,1,M,Habituation,W002,I,F,I-F,D7,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,D7,3.3,0.008,W002_D7,31/05/2022,73,1,M,Habituation,W002,I,F,I-F,D7,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,D8,0,0,W002_D8,31/05/2022,74,1,M,Habituation,W002,I,F,I-F,D8,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,D8,1.4,0,W002_D8,31/05/2022,74,1,M,Habituation,W002,I,F,I-F,D8,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,D8,0,0,W002_D8,31/05/2022,74,1,M,Habituation,W002,I,F,I-F,D8,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,E2,1.4,0.004,W002_E2,31/05/2022,76,1,M,Habituation,W002,I,F,I-F,E2,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,E2,3,0.011,W002_E2,31/05/2022,76,1,M,Habituation,W002,I,F,I-F,E2,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,E2,6.5,0.032,W002_E2,31/05/2022,76,1,M,Habituation,W002,I,F,I-F,E2,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,E4,11.2,0.17,W002_E4,31/05/2022,78,1,M,Habituation,W002,GM,M,GM-M,E4,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,E4,13.3,0.217,W002_E4,31/05/2022,78,1,M,Habituation,W002,GM,M,GM-M,E4,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,E4,7.9,0.054,W002_E4,31/05/2022,78,1,M,Habituation,W002,GM,M,GM-M,E4,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,E5,9.4,0.111,W002_E5,31/05/2022,79,1,M,Habituation,W002,GM,M,GM-M,E5,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,E5,0,0,W002_E5,31/05/2022,79,1,M,Habituation,W002,GM,M,GM-M,E5,Ran at 30 - exclude,exclude,exclude
W002,14,1,11,STARTLE,0,3,E5,0,0,W002_E5,31/05/2022,79,1,M,Habituation,W002,GM,M,GM-M,E5,Ran at 30 - exclude,exclude,exclude
W002,10,1,7,STARTLE,0,1,E6,1.5,0.001,W002_E6,31/05/2022,80,1,M,Habituation,W002,GM,M,GM-M,E6,Ran at 30 - exclude,exclude,exclude
W002,12,1,9,STARTLE,0,2,E6,3,0.007,W002_E6,31/05/2022,80,1,M,Habituation,W002,GM,M,GM-M,E6,Ran at 30 - exclude,exclude,exclude
