Individual_ID,LLL,LLR,LRL,LRR,RLL,RLR,RRL,RRR,L,R,total_turns,reps,alter,partial,rel_reps,rel_alter,rel_R,rel_L,asymmetry,Date,ID,Batch,Session,Assay_name,Assay_ID,Treatment,Sex,Treatment_Sex,Position,Comment,Exclude_mean,Exclude_correlation
Y001_1,18,7,5,5,7,3,5,14,37,29,66,32,8,24,48.48484848,12.12121212,43.93939394,56.06060606,0.216216216,31/05/2022,1,1,M,Ymaze,Y001,GS,F,GS-F,1,NA,keep,keep
Y001_11,4,5,5,3,5,3,3,5,18,17,35,9,8,16,25.71428571,22.85714286,48.57142857,51.42857143,0.055555556,31/05/2022,11,1,M,Ymaze,Y001,GM,F,GM-F,11,NA,keep,keep
Y001_2,3,8,4,10,9,5,10,14,27,38,65,17,9,37,26.15384615,13.84615385,58.46153846,41.53846154,-0.407407407,31/05/2022,2,1,M,Ymaze,Y001,GS,F,GS-F,2,NA,keep,keep
Y001_3,0,1,0,1,0,0,0,1,2,3,5,1,0,2,20,0,60,40,-0.5,31/05/2022,3,1,M,Ymaze,Y001,GS,F,GS-F,3,NA,keep,keep
Y001_4,12,2,0,3,2,1,3,47,17,55,72,59,1,10,81.94444444,1.388888889,76.38888889,23.61111111,-2.235294118,31/05/2022,4,1,M,Ymaze,Y001,GS,F,GS-F,4,NA,keep,keep
Y001_5,2,2,1,1,2,1,2,2,7,8,15,4,2,7,26.66666667,13.33333333,53.33333333,46.66666667,-0.142857143,31/05/2022,5,1,M,Ymaze,Y001,GS,F,GS-F,5,NA,keep,keep
Y001_6,30,10,6,12,10,8,11,13,58,44,102,43,14,43,42.15686275,13.7254902,43.1372549,56.8627451,0.24137931,31/05/2022,6,1,M,Ymaze,Y001,GS,F,GS-F,6,NA,keep,keep
Y001_7,9,8,5,8,8,5,8,23,30,46,76,32,10,32,42.10526316,13.15789474,60.52631579,39.47368421,-0.533333333,31/05/2022,7,1,M,Ymaze,Y001,GS,F,GS-F,7,NA,keep,keep
Y002_1,40,12,9,7,11,5,7,8,69,32,101,48,14,37,47.52475248,13.86138614,31.68316832,68.31683168,0.536231884,31/05/2022,15,1,M,Ymaze,Y002,I,F,I-F,1,NA,keep,keep
Y002_10,5,8,2,11,8,6,12,71,27,98,125,76,8,39,60.8,6.4,78.4,21.6,-2.62962963,31/05/2022,24,1,M,Ymaze,Y002,GS,M,GS-M,10,exclude from trait correlation as individuals were shifted,keep,keep
Y002_11,7,4,2,8,4,6,8,6,23,24,47,13,8,24,27.65957447,17.0212766,51.06382979,48.93617021,-0.043478261,31/05/2022,25,1,M,Ymaze,Y002,GS,M,GS-M,11,exclude from trait correlation as individuals were shifted,keep,keep
Y002_12,35,16,10,15,16,9,15,50,78,90,168,85,19,62,50.5952381,11.30952381,53.57142857,46.42857143,-0.153846154,31/05/2022,26,1,M,Ymaze,Y002,GS,M,GS-M,12,exclude from trait correlation as individuals were shifted,keep,keep
Y002_13,2,1,1,3,1,3,3,67,7,76,83,69,4,8,83.13253012,4.819277108,91.56626506,8.43373494,-9.857142857,31/05/2022,27,1,M,Ymaze,Y002,GS,M,GS-M,13,exclude from trait correlation as individuals were shifted,keep,keep
Y002_14,16,9,6,12,9,8,11,15,43,45,88,31,14,41,35.22727273,15.90909091,51.13636364,48.86363636,-0.046511628,31/05/2022,28,1,M,Ymaze,Y002,GS,M,GS-M,14,exclude from trait correlation as individuals were shifted,keep,keep
