0.000,"Info","2022-06-08 05:34:03","Service 'E_allen_habituation' : Execution start"
0.000,"Info","Subject Identification","W030"
0.000,"Info","Apparatus","Zantiks Unit"
0.000,"Info","Unit ID","62B8E1"
"RUNTIME","UNIT","TIMESLOT","PLATE_ID","TEMPERATURE","TIME_BIN","BLOCK","TRIAL","TYPE","PRE_POST_COUNTER","STARTLE_NUMBER","A1","A2","A3","A4","A5","A6","A7","A8","B1","B2","B3","B4","B5","B6","B7","B8","C1","C2","C3","C4","C5","C6","C7","C8","D1","D2","D3","D4","D5","D6","D7","D8","E1","E2","E3","E4","E5","E6","E7","E8","F1","F2","F3","F4","F5","F6","F7","F8","A1MSD","A2MSD","A3MSD","A4MSD","A5MSD","A6MSD","A7MSD","A8MSD","B1MSD","B2MSD","B3MSD","B4MSD","B5MSD","B6MSD","B7MSD","B8MSD","C1MSD","C2MSD","C3MSD","C4MSD","C5MSD","C6MSD","C7MSD","C8MSD","D1MSD","D2MSD","D3MSD","D4MSD","D5MSD","D6MSD","D7MSD","D8MSD","E1MSD","E2MSD","E3MSD","E4MSD","E5MSD","E6MSD","E7MSD","E8MSD","F1MSD","F2MSD","F3MSD","F4MSD","F5MSD","F6MSD","F7MSD","F8MSD"
301.514,"Zantiks Unit",1,"W030",24.69,1,0,1,"ACCLIMATION","0","0",0.0,0.0,0.0,4.5,1.4,0.0,4.8,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,13.2,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.313,0.231,0.248,0.252,0.391,0.227,0.311,0.260,0.234,0.197,0.132,0.203,0.133,0.050,0.063,0.092,0.212,0.131,0.174,0.142,0.108,0.141,0.000,0.296,0.227,0.088,0.108,0.083,0.071,0.159,0.001,0.232,0.271,0.000,0.084,0.041,0.074,0.174,0.276,0.405,0.281,0.000,0.000,0.000,0.000,0.000,0.000
302.530,"Zantiks Unit",1,"W030",24.69,2,0,2,"ACCLIMATION","0","0",0.0,0.0,3.0,0.0,0.0,7.9,9.9,1.5,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.9,12.9,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.001,0.009,0.000,0.168,0.021,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.082,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000
303.535,"Zantiks Unit",1,"W030",24.87,3,0,3,"ACCLIMATION","0","0",3.2,0.0,0.0,4.6,0.0,8.8,1.5,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,9.5,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.000,0.002,0.052,0.000,0.149,0.003,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.131,0.004,0.000,0.000,0.000,0.000,0.000,0.000
304.539,"Zantiks Unit",1,"W030",24.87,4,1,1,"PRE",1,"0",0.0,3.2,0.0,3.1,0.0,6.3,0.0,3.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,3.7,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,12.1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.006,0.001,0.021,0.000,0.070,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.137,0.002,0.000,0.000,0.000,0.000,0.000,0.000
305.542,"Zantiks Unit",1,"W030",24.87,5,1,2,"PRE",2,"0",1.6,0.0,0.0,4.8,0.0,4.4,0.0,1.4,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,11.1,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.002,0.000,0.012,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.156,0.002,0.000,0.000,0.000,0.000,0.000,0.000
306.564,"Zantiks Unit",1,"W030",24.87,6,1,3,"PRE",3,"0",1.4,1.6,0.0,1.5,0.0,6.9,0.0,1.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.007,0.000,0.000,0.000,0.192,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000
307.568,"Zantiks Unit",1,"W030",24.96,7,1,4,"PRE",4,"0",0.0,6.3,0.0,3.0,0.0,3.4,0.0,1.5,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.066,0.000,0.000,0.002,0.040,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000
308.572,"Zantiks Unit",1,"W030",24.96,8,1,5,"PRE",5,"0",0.0,2.9,0.0,2.9,1.4,15.4,0.0,3.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.040,0.000,0.000,0.000,0.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.000
309.594,"Zantiks Unit",1,"W030",24.96,9,1,6,"PRE",6,"0",0.0,0.0,0.0,8.2,0.0,12.3,0.0,1.4,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.084,0.000,0.258,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.171,0.000,0.000,0.000,0.000,0.000,0.000,0.000
310.598,"Zantiks Unit",1,"W030",24.96,10,1,7,"STARTLE","0",1,0.0,0.0,0.0,0.0,0.0,6.2,0.0,1.5,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.001,0.007,0.000,0.068,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.000
