0.000,"Info","2022-05-31 00:34:34","Service 'E_allen_habituation_30' : Execution start"
0.000,"Info","Subject Identification","W002"
0.000,"Info","Apparatus","Zantiks Unit"
0.000,"Info","Unit ID","62B8E1"
"RUNTIME","UNIT","TIMESLOT","PLATE_ID","TEMPERATURE","TIME_BIN","BLOCK","TRIAL","TYPE","PRE_POST_COUNTER","STARTLE_NUMBER","A1","A2","A3","A4","A5","A6","A7","A8","B1","B2","B3","B4","B5","B6","B7","B8","C1","C2","C3","C4","C5","C6","C7","C8","D1","D2","D3","D4","D5","D6","D7","D8","E1","E2","E3","E4","E5","E6","E7","E8","F1","F2","F3","F4","F5","F6","F7","F8","A1MSD","A2MSD","A3MSD","A4MSD","A5MSD","A6MSD","A7MSD","A8MSD","B1MSD","B2MSD","B3MSD","B4MSD","B5MSD","B6MSD","B7MSD","B8MSD","C1MSD","C2MSD","C3MSD","C4MSD","C5MSD","C6MSD","C7MSD","C8MSD","D1MSD","D2MSD","D3MSD","D4MSD","D5MSD","D6MSD","D7MSD","D8MSD","E1MSD","E2MSD","E3MSD","E4MSD","E5MSD","E6MSD","E7MSD","E8MSD","F1MSD","F2MSD","F3MSD","F4MSD","F5MSD","F6MSD","F7MSD","F8MSD"
301.493,"Zantiks Unit",1,"W002",30.42,1,0,1,"ACCLIMATION","0","0",8.0,3.2,11.0,0.0,6.5,6.1,8.2,19.5,15.3,15.9,4.9,1.4,13.4,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.9,15.4,0.0,0.0,0.0,8.1,12.5,7.2,11.7,0.0,0.0,0.0,0.0,0.0,11.8,1.7,16.8,15.5,4.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.241,0.393,0.444,0.188,0.035,0.257,0.209,0.190,0.319,0.247,0.120,0.130,0.183,0.178,0.068,0.238,0.113,0.292,0.050,0.311,0.188,0.181,0.415,0.110,0.030,0.109,0.018,0.179,0.354,0.173,0.197,0.158,0.266,0.409,0.000,0.197,0.310,0.057,0.394,0.200,0.312,0.296,0.000,0.000,0.000,0.000,0.000,0.000
302.497,"Zantiks Unit",1,"W002",30.42,2,0,2,"ACCLIMATION","0","0",14.1,6.4,8.2,3.0,7.9,6.5,6.5,10.6,19.8,8.1,0.0,0.0,10.1,1.5,0.0,3.1,0.0,0.0,0.0,12.1,0.0,15.5,12.9,12.2,0.0,6.4,0.0,8.7,12.1,7.1,1.4,0.0,0.0,0.0,0.0,6.5,14.2,14.2,19.7,15.9,16.4,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.040,0.040,0.089,0.000,0.006,0.054,0.060,0.064,0.129,0.028,0.000,0.000,0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.155,0.088,0.005,0.000,0.001,0.000,0.022,0.060,0.025,0.001,0.000,0.000,0.000,0.000,0.054,0.125,0.092,0.189,0.047,0.380,0.026,0.000,0.000,0.000,0.000,0.000,0.000
303.519,"Zantiks Unit",1,"W002",30.33,3,0,3,"ACCLIMATION","0","0",14.9,7.9,12.5,0.0,3.1,3.2,3.2,1.4,19.3,6.4,0.0,0.0,5.6,6.8,0.0,3.2,0.0,0.0,0.0,1.5,0.0,11.2,11.1,15.7,0.0,0.0,0.0,20.7,12.6,19.9,0.0,0.0,0.0,0.0,0.0,8.0,17.2,16.1,21.0,17.4,14.5,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.157,0.212,0.000,0.000,0.034,0.026,0.000,0.090,0.010,0.000,0.000,0.034,0.018,0.000,0.003,0.000,0.000,0.000,0.004,0.000,0.043,0.090,0.033,0.000,0.000,0.000,0.197,0.093,0.144,0.000,0.000,0.000,0.000,0.000,0.094,0.222,0.072,0.110,0.092,0.209,0.090,0.000,0.000,0.000,0.000,0.000,0.000
304.550,"Zantiks Unit",1,"W002",30.33,4,1,1,"PRE",1,"0",6.8,5.1,3.2,0.0,0.0,4.4,0.0,0.0,15.6,13.3,0.0,0.0,11.9,8.0,0.0,1.6,0.0,0.0,0.0,6.1,0.0,8.0,12.5,16.3,0.0,0.0,0.0,21.3,15.2,4.6,6.5,0.0,1.7,0.0,0.0,7.9,15.4,0.0,9.3,17.3,15.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.058,0.008,0.000,0.002,0.026,0.000,0.000,0.117,0.077,0.000,0.000,0.086,0.017,0.000,0.000,0.000,0.000,0.000,0.072,0.000,0.031,0.029,0.011,0.000,0.000,0.000,0.187,0.120,0.007,0.060,0.000,0.000,0.000,0.000,0.047,0.212,0.003,0.138,0.136,0.204,0.032,0.000,0.000,0.000,0.000,0.000,0.000
305.554,"Zantiks Unit",1,"W002",30.33,5,1,2,"PRE",2,"0",9.1,1.5,0.0,0.0,3.1,6.4,0.0,1.7,20.0,13.6,0.0,0.0,6.8,8.0,0.0,3.0,0.0,0.0,0.0,4.7,0.0,6.4,13.8,1.6,0.0,1.4,0.0,14.5,11.8,6.5,19.8,0.0,0.0,0.0,0.0,1.5,12.8,0.0,0.0,20.9,15.1,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.030,0.022,0.000,0.000,0.014,0.066,0.000,0.003,0.169,0.049,0.000,0.000,0.031,0.010,0.000,0.005,0.000,0.000,0.000,0.074,0.000,0.031,0.108,0.000,0.000,0.000,0.000,0.126,0.094,0.024,0.166,0.000,0.000,0.000,0.000,0.013,0.165,0.000,0.000,0.103,0.203,0.002,0.000,0.000,0.000,0.000,0.000,0.000
306.558,"Zantiks Unit",1,"W002",30.24,6,1,3,"PRE",3,"0",11.1,8.2,0.0,0.0,8.6,6.3,0.0,0.0,6.6,15.7,0.0,0.0,12.0,1.6,0.0,0.0,2.9,0.0,0.0,0.0,0.0,8.7,15.3,0.0,0.0,0.0,3.5,12.4,12.0,10.8,9.8,0.0,4.8,0.0,0.0,7.8,8.0,0.0,10.4,10.4,12.1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.092,0.000,0.000,0.065,0.027,0.000,0.000,0.022,0.139,0.000,0.000,0.049,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.124,0.000,0.000,0.000,0.000,0.103,0.080,0.069,0.065,0.000,0.000,0.000,0.000,0.107,0.112,0.000,0.024,0.062,0.231,0.002,0.000,0.000,0.000,0.000,0.000,0.000
307.562,"Zantiks Unit",1,"W002",30.24,7,1,4,"PRE",4,"0",6.5,14.8,0.0,0.0,9.4,7.5,0.0,0.0,1.6,8.0,2.9,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,4.6,17.6,0.0,0.0,3.0,3.4,12.6,12.7,9.9,11.7,0.0,6.2,0.0,0.0,10.2,15.1,0.0,20.6,10.1,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.277,0.000,0.005,0.166,0.113,0.000,0.000,0.001,0.014,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.051,0.000,0.003,0.264,0.000,0.000,0.000,0.000,0.106,0.093,0.022,0.042,0.000,0.001,0.000,0.000,0.098,0.136,0.000,0.262,0.007,0.115,0.004,0.000,0.000,0.000,0.000,0.000,0.000
308.585,"Zantiks Unit",1,"W002",30.24,8,1,5,"PRE",5,"0",6.6,10.7,4.7,0.0,6.6,9.4,8.2,13.3,0.0,14.1,0.0,0.0,1.8,1.7,0.0,0.0,0.0,0.0,0.0,15.3,0.0,4.6,13.6,0.0,0.0,1.7,0.0,20.0,13.0,15.6,1.4,0.0,1.6,7.8,0.0,10.1,11.0,1.5,20.8,7.6,9.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.096,0.010,0.000,0.053,0.057,0.003,0.055,0.000,0.063,0.000,0.000,0.011,0.009,0.000,0.000,0.000,0.000,0.000,0.199,0.000,0.025,0.085,0.000,0.000,0.000,0.000,0.124,0.080,0.098,0.000,0.000,0.000,0.008,0.000,0.129,0.119,0.000,0.255,0.003,0.068,0.031,0.000,0.000,0.000,0.000,0.000,0.000
309.589,"Zantiks Unit",1,"W002",30.24,9,1,6,"PRE",6,"0",0.0,10.6,9.9,4.6,11.9,3.1,0.0,13.0,0.0,10.1,0.0,0.0,18.2,9.4,0.0,1.5,8.0,0.0,0.0,11.7,0.0,5.3,0.0,0.0,0.0,0.0,0.0,13.2,3.3,7.0,5.3,0.0,0.0,15.0,0.0,7.9,13.4,0.0,21.4,1.6,11.7,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.012,0.150,0.001,0.104,0.039,0.000,0.085,0.000,0.032,0.000,0.000,0.099,0.023,0.000,0.000,0.001,0.000,0.000,0.093,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.107,0.002,0.028,0.044,0.000,0.000,0.078,0.000,0.160,0.160,0.000,0.208,0.000,0.208,0.001,0.000,0.000,0.000,0.000,0.000,0.000
310.593,"Zantiks Unit",1,"W002",30.24,10,1,7,"STARTLE","0",1,0.0,5.1,4.6,0.0,11.8,6.1,5.6,14.1,0.0,14.4,3.2,0.0,15.1,12.0,11.5,3.0,10.8,0.0,0.0,10.8,0.0,6.6,0.0,1.7,0.0,1.9,0.0,14.4,0.0,0.0,11.9,0.0,0.0,1.4,0.0,11.2,9.4,1.5,1.7,1.8,7.8,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.002,0.061,0.000,0.301,0.045,0.010,0.013,0.000,0.116,0.000,0.000,0.074,0.020,0.003,0.000,0.008,0.000,0.000,0.095,0.000,0.012,0.000,0.007,0.000,0.004,0.000,0.069,0.000,0.000,0.085,0.000,0.000,0.004,0.000,0.170,0.111,0.001,0.018,0.003,0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000
