0.000,"Info","2001-04-08 23:27:35","Service 'E_ymaze_droso' : Execution start"
0.000,"Info","Subject Identification","Y015"
0.000,"Info","Apparatus","Zantiks Unit"
0.000,"Info","Unit ID","0107D3"
"TIME","","","ARENA","ACTION","ZONE"
601.441,"Info","Arena",1,"Enter_Zone",4
601.441,"Info","Arena",2,"Enter_Zone",3
601.441,"Info","Arena",3,"Enter_Zone",4
601.441,"Info","Arena",4,"Enter_Zone",2
601.441,"Info","Arena",5,"Enter_Zone",4
601.441,"Info","Arena",6,"Enter_Zone",3
601.441,"Info","Arena",7,"Enter_Zone",1
601.441,"Info","Arena",8,"Enter_Zone",4
601.441,"Info","Arena",9,"Enter_Zone",3
601.441,"Info","Arena",10,"Enter_Zone",3
601.441,"Info","Arena",11,"Enter_Zone",3
601.441,"Info","Arena",12,"Enter_Zone",1
601.441,"Info","Arena",13,"Enter_Zone",4
603.707,"Info","Arena",2,"Exit_Zone",3
603.707,"Info","Arena",2,"Enter_Zone",4
604.409,"Info","Arena",1,"Exit_Zone",4
604.409,"Info","Arena",1,"Enter_Zone",3
604.409,"Info","Arena",4,"Exit_Zone",2
604.409,"Info","Arena",4,"Enter_Zone",4
604.773,"Info","Arena",1,"Exit_Zone",3
604.773,"Info","Arena",1,"Enter_Zone",4
605.040,"Info","Arena",7,"Exit_Zone",1
605.040,"Info","Arena",7,"Enter_Zone",4
606.940,"Info","Arena",2,"Exit_Zone",4
606.940,"Info","Arena",2,"Enter_Zone",2
606.973,"Info","Arena",4,"Exit_Zone",4
606.973,"Info","Arena",4,"Enter_Zone",3
607.473,"Info","Arena",11,"Exit_Zone",3
607.473,"Info","Arena",11,"Enter_Zone",4
607.873,"Info","Arena",7,"Exit_Zone",4
607.873,"Info","Arena",7,"Enter_Zone",2
608.839,"Info","Arena",11,"Exit_Zone",4
608.839,"Info","Arena",11,"Enter_Zone",1
610.605,"Info","Arena",8,"Exit_Zone",4
610.605,"Info","Arena",8,"Enter_Zone",3
612.772,"Info","Arena",2,"Exit_Zone",2
612.772,"Info","Arena",2,"Enter_Zone",4
612.939,"Info","Arena",3,"Exit_Zone",4
612.939,"Info","Arena",3,"Enter_Zone",1
612.972,"Info","Arena",3,"Exit_Zone",1
612.972,"Info","Arena",3,"Enter_Zone",4
613.074,"Info","Arena",3,"Exit_Zone",4
613.074,"Info","Arena",3,"Enter_Zone",1
613.538,"Info","Arena",7,"Exit_Zone",2
613.538,"Info","Arena",7,"Enter_Zone",4
613.938,"Info","Arena",4,"Exit_Zone",3
613.938,"Info","Arena",4,"Enter_Zone",4
615.371,"Info","Arena",1,"Exit_Zone",4
615.371,"Info","Arena",1,"Enter_Zone",3
615.407,"Info","Arena",1,"Exit_Zone",3
615.407,"Info","Arena",1,"Enter_Zone",4
615.671,"Info","Arena",1,"Exit_Zone",4
615.671,"Info","Arena",1,"Enter_Zone",3
615.704,"Info","Arena",1,"Exit_Zone",3
615.704,"Info","Arena",1,"Enter_Zone",4
616.073,"Info","Arena",1,"Exit_Zone",4
616.073,"Info","Arena",1,"Enter_Zone",3
616.073,"Info","Arena",11,"Exit_Zone",1
616.073,"Info","Arena",11,"Enter_Zone",4
616.104,"Info","Arena",1,"Exit_Zone",3
616.104,"Info","Arena",1,"Enter_Zone",4
616.171,"Info","Arena",1,"Exit_Zone",4
616.171,"Info","Arena",1,"Enter_Zone",3
616.240,"Info","Arena",1,"Exit_Zone",3
616.240,"Info","Arena",1,"Enter_Zone",4
616.271,"Info","Arena",1,"Exit_Zone",4
616.271,"Info","Arena",1,"Enter_Zone",3
616.271,"Info","Arena",7,"Exit_Zone",4
616.271,"Info","Arena",7,"Enter_Zone",3
616.338,"Info","Arena",7,"Exit_Zone",3
616.338,"Info","Arena",7,"Enter_Zone",4
616.371,"Info","Arena",1,"Exit_Zone",3
616.371,"Info","Arena",1,"Enter_Zone",4
616.504,"Info","Arena",1,"Exit_Zone",4
616.504,"Info","Arena",1,"Enter_Zone",3
616.504,"Info","Arena",4,"Exit_Zone",4
616.504,"Info","Arena",4,"Enter_Zone",1
616.504,"Info","Arena",7,"Exit_Zone",4
616.504,"Info","Arena",7,"Enter_Zone",3
616.573,"Info","Arena",7,"Exit_Zone",3
616.573,"Info","Arena",7,"Enter_Zone",4
616.638,"Info","Arena",2,"Exit_Zone",4
616.638,"Info","Arena",2,"Enter_Zone",1
616.638,"Info","Arena",7,"Exit_Zone",4
616.638,"Info","Arena",7,"Enter_Zone",3
616.671,"Info","Arena",7,"Exit_Zone",3
616.671,"Info","Arena",7,"Enter_Zone",4
616.740,"Info","Arena",7,"Exit_Zone",4
616.740,"Info","Arena",7,"Enter_Zone",3
617.104,"Info","Arena",1,"Exit_Zone",3
617.104,"Info","Arena",1,"Enter_Zone",4
617.171,"Info","Arena",1,"Exit_Zone",4
617.171,"Info","Arena",1,"Enter_Zone",3
617.304,"Info","Arena",1,"Exit_Zone",3
617.304,"Info","Arena",1,"Enter_Zone",4
617.371,"Info","Arena",1,"Exit_Zone",4
617.371,"Info","Arena",1,"Enter_Zone",3
617.437,"Info","Arena",1,"Exit_Zone",3
617.437,"Info","Arena",1,"Enter_Zone",4
617.471,"Info","Arena",1,"Exit_Zone",4
617.471,"Info","Arena",1,"Enter_Zone",3
617.704,"Info","Arena",1,"Exit_Zone",3
617.704,"Info","Arena",1,"Enter_Zone",4
617.739,"Info","Arena",1,"Exit_Zone",4
617.739,"Info","Arena",1,"Enter_Zone",3
617.804,"Info","Arena",1,"Exit_Zone",3
617.804,"Info","Arena",1,"Enter_Zone",4
617.837,"Info","Arena",1,"Exit_Zone",4
617.837,"Info","Arena",1,"Enter_Zone",3
617.906,"Info","Arena",1,"Exit_Zone",3
617.906,"Info","Arena",1,"Enter_Zone",4
617.937,"Info","Arena",1,"Exit_Zone",4
617.937,"Info","Arena",1,"Enter_Zone",3
618.037,"Info","Arena",1,"Exit_Zone",3
618.037,"Info","Arena",1,"Enter_Zone",4
618.671,"Info","Arena",11,"Exit_Zone",4
618.671,"Info","Arena",11,"Enter_Zone",2
622.136,"Info","Arena",7,"Exit_Zone",3
622.136,"Info","Arena",7,"Enter_Zone",4
622.670,"Info","Arena",2,"Exit_Zone",1
622.670,"Info","Arena",2,"Enter_Zone",4
623.503,"Info","Arena",11,"Exit_Zone",2
623.503,"Info","Arena",11,"Enter_Zone",4
623.703,"Info","Arena",7,"Exit_Zone",4
623.703,"Info","Arena",7,"Enter_Zone",1
624.905,"Info","Arena",6,"Exit_Zone",3
624.905,"Info","Arena",6,"Enter_Zone",4
625.436,"Info","Arena",11,"Exit_Zone",4
625.436,"Info","Arena",11,"Enter_Zone",3
625.469,"Info","Arena",11,"Exit_Zone",3
625.469,"Info","Arena",11,"Enter_Zone",4
625.669,"Info","Arena",11,"Exit_Zone",4
625.669,"Info","Arena",11,"Enter_Zone",3
627.202,"Info","Arena",3,"Exit_Zone",1
627.202,"Info","Arena",3,"Enter_Zone",4
627.269,"Info","Arena",3,"Exit_Zone",4
627.269,"Info","Arena",3,"Enter_Zone",1
627.435,"Info","Arena",3,"Exit_Zone",1
627.435,"Info","Arena",3,"Enter_Zone",4
629.535,"Info","Arena",6,"Exit_Zone",4
629.535,"Info","Arena",6,"Enter_Zone",1
630.103,"Info","Arena",3,"Exit_Zone",4
630.103,"Info","Arena",3,"Enter_Zone",2
631.801,"Info","Arena",11,"Exit_Zone",3
631.801,"Info","Arena",11,"Enter_Zone",4
633.601,"Info","Arena",11,"Exit_Zone",4
633.601,"Info","Arena",11,"Enter_Zone",1
634.334,"Info","Arena",1,"Exit_Zone",4
634.334,"Info","Arena",1,"Enter_Zone",3
634.367,"Info","Arena",1,"Exit_Zone",3
634.367,"Info","Arena",1,"Enter_Zone",4
634.434,"Info","Arena",1,"Exit_Zone",4
634.434,"Info","Arena",1,"Enter_Zone",3
634.467,"Info","Arena",1,"Exit_Zone",3
634.467,"Info","Arena",1,"Enter_Zone",4
634.501,"Info","Arena",1,"Exit_Zone",4
634.501,"Info","Arena",1,"Enter_Zone",3
634.634,"Info","Arena",1,"Exit_Zone",3
634.634,"Info","Arena",1,"Enter_Zone",4
635.868,"Info","Arena",1,"Exit_Zone",4
635.868,"Info","Arena",1,"Enter_Zone",3
635.934,"Info","Arena",1,"Exit_Zone",3
635.934,"Info","Arena",1,"Enter_Zone",4
639.266,"Info","Arena",11,"Exit_Zone",1
639.266,"Info","Arena",11,"Enter_Zone",4
641.999,"Info","Arena",11,"Exit_Zone",4
641.999,"Info","Arena",11,"Enter_Zone",2
643.568,"Info","Arena",10,"Exit_Zone",3
643.568,"Info","Arena",10,"Enter_Zone",4
646.932,"Info","Arena",10,"Exit_Zone",4
646.932,"Info","Arena",10,"Enter_Zone",2
647.531,"Info","Arena",11,"Exit_Zone",2
647.531,"Info","Arena",11,"Enter_Zone",4
652.232,"Info","Arena",11,"Exit_Zone",4
652.232,"Info","Arena",11,"Enter_Zone",3
654.630,"Info","Arena",10,"Exit_Zone",2
654.630,"Info","Arena",10,"Enter_Zone",4
655.399,"Info","Arena",1,"Exit_Zone",4
655.399,"Info","Arena",1,"Enter_Zone",3
655.830,"Info","Arena",2,"Exit_Zone",4
655.830,"Info","Arena",2,"Enter_Zone",3
656.065,"Info","Arena",1,"Exit_Zone",3
656.065,"Info","Arena",1,"Enter_Zone",4
656.096,"Info","Arena",1,"Exit_Zone",4
656.096,"Info","Arena",1,"Enter_Zone",3
656.330,"Info","Arena",1,"Exit_Zone",3
656.330,"Info","Arena",1,"Enter_Zone",4
656.363,"Info","Arena",1,"Exit_Zone",4
656.363,"Info","Arena",1,"Enter_Zone",3
656.398,"Info","Arena",1,"Exit_Zone",3
656.398,"Info","Arena",1,"Enter_Zone",4
656.430,"Info","Arena",1,"Exit_Zone",4
656.430,"Info","Arena",1,"Enter_Zone",3
656.796,"Info","Arena",10,"Exit_Zone",4
656.796,"Info","Arena",10,"Enter_Zone",1
657.130,"Info","Arena",10,"Exit_Zone",1
657.130,"Info","Arena",10,"Enter_Zone",4
657.296,"Info","Arena",10,"Exit_Zone",4
657.296,"Info","Arena",10,"Enter_Zone",1
657.463,"Info","Arena",1,"Exit_Zone",3
657.463,"Info","Arena",1,"Enter_Zone",4
657.496,"Info","Arena",1,"Exit_Zone",4
657.496,"Info","Arena",1,"Enter_Zone",3
657.898,"Info","Arena",1,"Exit_Zone",3
657.898,"Info","Arena",1,"Enter_Zone",4
657.929,"Info","Arena",1,"Exit_Zone",4
657.929,"Info","Arena",1,"Enter_Zone",3
658.529,"Info","Arena",1,"Exit_Zone",3
658.529,"Info","Arena",1,"Enter_Zone",4
658.565,"Info","Arena",1,"Exit_Zone",4
658.565,"Info","Arena",1,"Enter_Zone",3
658.796,"Info","Arena",1,"Exit_Zone",3
658.796,"Info","Arena",1,"Enter_Zone",4
658.829,"Info","Arena",1,"Exit_Zone",4
658.829,"Info","Arena",1,"Enter_Zone",3
658.929,"Info","Arena",6,"Exit_Zone",1
658.929,"Info","Arena",6,"Enter_Zone",4
659.029,"Info","Arena",1,"Exit_Zone",3
659.029,"Info","Arena",1,"Enter_Zone",4
659.064,"Info","Arena",1,"Exit_Zone",4
659.064,"Info","Arena",1,"Enter_Zone",3
659.496,"Info","Arena",1,"Exit_Zone",3
659.496,"Info","Arena",1,"Enter_Zone",4
659.529,"Info","Arena",1,"Exit_Zone",4
659.529,"Info","Arena",1,"Enter_Zone",3
659.796,"Info","Arena",1,"Exit_Zone",3
659.796,"Info","Arena",1,"Enter_Zone",4
659.829,"Info","Arena",1,"Exit_Zone",4
659.829,"Info","Arena",1,"Enter_Zone",3
660.596,"Info","Arena",1,"Exit_Zone",3
660.596,"Info","Arena",1,"Enter_Zone",4
660.629,"Info","Arena",1,"Exit_Zone",4
660.629,"Info","Arena",1,"Enter_Zone",3
660.795,"Info","Arena",1,"Exit_Zone",3
660.795,"Info","Arena",1,"Enter_Zone",4
660.830,"Info","Arena",1,"Exit_Zone",4
660.830,"Info","Arena",1,"Enter_Zone",3
660.897,"Info","Arena",1,"Exit_Zone",3
660.897,"Info","Arena",1,"Enter_Zone",4
660.930,"Info","Arena",1,"Exit_Zone",4
660.930,"Info","Arena",1,"Enter_Zone",3
661.029,"Info","Arena",1,"Exit_Zone",3
661.029,"Info","Arena",1,"Enter_Zone",4
661.064,"Info","Arena",1,"Exit_Zone",4
661.064,"Info","Arena",1,"Enter_Zone",3
661.162,"Info","Arena",1,"Exit_Zone",3
661.162,"Info","Arena",1,"Enter_Zone",4
661.195,"Info","Arena",1,"Exit_Zone",4
661.195,"Info","Arena",1,"Enter_Zone",3
661.262,"Info","Arena",1,"Exit_Zone",3
661.262,"Info","Arena",1,"Enter_Zone",4
661.295,"Info","Arena",1,"Exit_Zone",4
661.295,"Info","Arena",1,"Enter_Zone",3
661.329,"Info","Arena",1,"Exit_Zone",3
661.329,"Info","Arena",1,"Enter_Zone",4
661.362,"Info","Arena",1,"Exit_Zone",4
661.362,"Info","Arena",1,"Enter_Zone",3
661.629,"Info","Arena",1,"Exit_Zone",3
661.629,"Info","Arena",1,"Enter_Zone",4
661.662,"Info","Arena",1,"Exit_Zone",4
661.662,"Info","Arena",1,"Enter_Zone",3
661.795,"Info","Arena",1,"Exit_Zone",3
661.795,"Info","Arena",1,"Enter_Zone",4
661.897,"Info","Arena",1,"Exit_Zone",4
661.897,"Info","Arena",1,"Enter_Zone",3
661.962,"Info","Arena",1,"Exit_Zone",3
661.962,"Info","Arena",1,"Enter_Zone",4
661.995,"Info","Arena",1,"Exit_Zone",4
661.995,"Info","Arena",1,"Enter_Zone",3
662.064,"Info","Arena",1,"Exit_Zone",3
662.064,"Info","Arena",1,"Enter_Zone",4
662.095,"Info","Arena",1,"Exit_Zone",4
662.095,"Info","Arena",1,"Enter_Zone",3
662.230,"Info","Arena",1,"Exit_Zone",3
662.230,"Info","Arena",1,"Enter_Zone",4
662.329,"Info","Arena",1,"Exit_Zone",4
662.329,"Info","Arena",1,"Enter_Zone",3
662.397,"Info","Arena",1,"Exit_Zone",3
662.397,"Info","Arena",1,"Enter_Zone",4
662.397,"Info","Arena",6,"Exit_Zone",4
662.397,"Info","Arena",6,"Enter_Zone",3
662.495,"Info","Arena",1,"Exit_Zone",4
662.495,"Info","Arena",1,"Enter_Zone",3
662.595,"Info","Arena",1,"Exit_Zone",3
662.595,"Info","Arena",1,"Enter_Zone",4
662.628,"Info","Arena",1,"Exit_Zone",4
662.628,"Info","Arena",1,"Enter_Zone",3
662.762,"Info","Arena",1,"Exit_Zone",3
662.762,"Info","Arena",1,"Enter_Zone",4
662.762,"Info","Arena",10,"Exit_Zone",1
662.762,"Info","Arena",10,"Enter_Zone",4
662.897,"Info","Arena",1,"Exit_Zone",4
662.897,"Info","Arena",1,"Enter_Zone",3
663.128,"Info","Arena",1,"Exit_Zone",3
663.128,"Info","Arena",1,"Enter_Zone",4
663.195,"Info","Arena",1,"Exit_Zone",4
663.195,"Info","Arena",1,"Enter_Zone",3
663.231,"Info","Arena",1,"Exit_Zone",3
663.231,"Info","Arena",1,"Enter_Zone",4
663.262,"Info","Arena",1,"Exit_Zone",4
663.262,"Info","Arena",1,"Enter_Zone",3
663.428,"Info","Arena",1,"Exit_Zone",3
663.428,"Info","Arena",1,"Enter_Zone",4
663.662,"Info","Arena",1,"Exit_Zone",4
663.662,"Info","Arena",1,"Enter_Zone",3
663.695,"Info","Arena",1,"Exit_Zone",3
663.695,"Info","Arena",1,"Enter_Zone",4
663.762,"Info","Arena",1,"Exit_Zone",4
663.762,"Info","Arena",1,"Enter_Zone",3
663.862,"Info","Arena",1,"Exit_Zone",3
663.862,"Info","Arena",1,"Enter_Zone",4
663.897,"Info","Arena",1,"Exit_Zone",4
663.897,"Info","Arena",1,"Enter_Zone",3
664.495,"Info","Arena",10,"Exit_Zone",4
664.495,"Info","Arena",10,"Enter_Zone",3
665.295,"Info","Arena",11,"Exit_Zone",3
665.295,"Info","Arena",11,"Enter_Zone",4
665.328,"Info","Arena",1,"Exit_Zone",3
665.328,"Info","Arena",1,"Enter_Zone",4
665.361,"Info","Arena",1,"Exit_Zone",4
665.361,"Info","Arena",1,"Enter_Zone",3
665.595,"Info","Arena",1,"Exit_Zone",3
665.595,"Info","Arena",1,"Enter_Zone",4
665.628,"Info","Arena",1,"Exit_Zone",4
665.628,"Info","Arena",1,"Enter_Zone",3
668.527,"Info","Arena",10,"Exit_Zone",3
668.527,"Info","Arena",10,"Enter_Zone",4
668.994,"Info","Arena",13,"Exit_Zone",4
668.994,"Info","Arena",13,"Enter_Zone",3
670.294,"Info","Arena",11,"Exit_Zone",4
670.294,"Info","Arena",11,"Enter_Zone",2
670.396,"Info","Arena",10,"Exit_Zone",4
670.396,"Info","Arena",10,"Enter_Zone",2
674.793,"Info","Arena",10,"Exit_Zone",2
674.793,"Info","Arena",10,"Enter_Zone",4
675.827,"Info","Arena",11,"Exit_Zone",2
675.827,"Info","Arena",11,"Enter_Zone",4
675.859,"Info","Arena",10,"Exit_Zone",4
675.859,"Info","Arena",10,"Enter_Zone",1
676.492,"Info","Arena",2,"Exit_Zone",3
676.492,"Info","Arena",2,"Enter_Zone",4
678.092,"Info","Arena",11,"Exit_Zone",4
678.092,"Info","Arena",11,"Enter_Zone",1
678.825,"Info","Arena",6,"Exit_Zone",3
678.825,"Info","Arena",6,"Enter_Zone",4
678.894,"Info","Arena",6,"Exit_Zone",4
678.894,"Info","Arena",6,"Enter_Zone",3
678.925,"Info","Arena",6,"Exit_Zone",3
678.925,"Info","Arena",6,"Enter_Zone",4
680.625,"Info","Arena",10,"Exit_Zone",1
680.625,"Info","Arena",10,"Enter_Zone",4
681.727,"Info","Arena",10,"Exit_Zone",4
681.727,"Info","Arena",10,"Enter_Zone",3
685.824,"Info","Arena",11,"Exit_Zone",1
685.824,"Info","Arena",11,"Enter_Zone",4
687.124,"Info","Arena",10,"Exit_Zone",3
687.124,"Info","Arena",10,"Enter_Zone",4
688.523,"Info","Arena",11,"Exit_Zone",4
688.523,"Info","Arena",11,"Enter_Zone",2
691.456,"Info","Arena",10,"Exit_Zone",4
691.456,"Info","Arena",10,"Enter_Zone",2
693.756,"Info","Arena",6,"Exit_Zone",4
693.756,"Info","Arena",6,"Enter_Zone",1
694.122,"Info","Arena",11,"Exit_Zone",2
694.122,"Info","Arena",11,"Enter_Zone",4
694.891,"Info","Arena",8,"Exit_Zone",3
694.891,"Info","Arena",8,"Enter_Zone",4
695.322,"Info","Arena",1,"Exit_Zone",3
695.322,"Info","Arena",1,"Enter_Zone",4
695.356,"Info","Arena",1,"Exit_Zone",4
695.356,"Info","Arena",1,"Enter_Zone",3
695.589,"Info","Arena",1,"Exit_Zone",3
695.589,"Info","Arena",1,"Enter_Zone",4
695.689,"Info","Arena",1,"Exit_Zone",4
695.689,"Info","Arena",1,"Enter_Zone",3
695.724,"Info","Arena",1,"Exit_Zone",3
695.724,"Info","Arena",1,"Enter_Zone",4
695.755,"Info","Arena",1,"Exit_Zone",4
695.755,"Info","Arena",1,"Enter_Zone",3
695.789,"Info","Arena",1,"Exit_Zone",3
695.789,"Info","Arena",1,"Enter_Zone",4
695.789,"Info","Arena",13,"Exit_Zone",3
695.789,"Info","Arena",13,"Enter_Zone",4
695.922,"Info","Arena",13,"Exit_Zone",4
695.922,"Info","Arena",13,"Enter_Zone",3
695.989,"Info","Arena",1,"Exit_Zone",4
695.989,"Info","Arena",1,"Enter_Zone",3
696.022,"Info","Arena",1,"Exit_Zone",3
696.022,"Info","Arena",1,"Enter_Zone",4
696.057,"Info","Arena",1,"Exit_Zone",4
696.057,"Info","Arena",1,"Enter_Zone",3
696.089,"Info","Arena",1,"Exit_Zone",3
696.089,"Info","Arena",1,"Enter_Zone",4
696.455,"Info","Arena",1,"Exit_Zone",4
696.455,"Info","Arena",1,"Enter_Zone",3
696.488,"Info","Arena",1,"Exit_Zone",3
696.488,"Info","Arena",1,"Enter_Zone",4
696.522,"Info","Arena",10,"Exit_Zone",2
696.522,"Info","Arena",10,"Enter_Zone",4
696.557,"Info","Arena",10,"Exit_Zone",4
696.557,"Info","Arena",10,"Enter_Zone",2
696.622,"Info","Arena",1,"Exit_Zone",4
696.622,"Info","Arena",1,"Enter_Zone",3
696.622,"Info","Arena",10,"Exit_Zone",2
696.622,"Info","Arena",10,"Enter_Zone",4
696.655,"Info","Arena",1,"Exit_Zone",3
696.655,"Info","Arena",1,"Enter_Zone",4
696.655,"Info","Arena",2,"Exit_Zone",4
696.655,"Info","Arena",2,"Enter_Zone",2
696.688,"Info","Arena",1,"Exit_Zone",4
696.688,"Info","Arena",1,"Enter_Zone",3
696.724,"Info","Arena",1,"Exit_Zone",3
696.724,"Info","Arena",1,"Enter_Zone",4
697.390,"Info","Arena",1,"Exit_Zone",4
697.390,"Info","Arena",1,"Enter_Zone",3
697.422,"Info","Arena",1,"Exit_Zone",3
697.422,"Info","Arena",1,"Enter_Zone",4
697.455,"Info","Arena",1,"Exit_Zone",4
697.455,"Info","Arena",1,"Enter_Zone",3
697.488,"Info","Arena",1,"Exit_Zone",3
697.488,"Info","Arena",1,"Enter_Zone",4
698.855,"Info","Arena",1,"Exit_Zone",4
698.855,"Info","Arena",1,"Enter_Zone",3
698.855,"Info","Arena",11,"Exit_Zone",4
698.855,"Info","Arena",11,"Enter_Zone",3
698.890,"Info","Arena",1,"Exit_Zone",3
698.890,"Info","Arena",1,"Enter_Zone",4
698.989,"Info","Arena",1,"Exit_Zone",4
698.989,"Info","Arena",1,"Enter_Zone",3
699.057,"Info","Arena",1,"Exit_Zone",3
699.057,"Info","Arena",1,"Enter_Zone",4
699.088,"Info","Arena",1,"Exit_Zone",4
699.088,"Info","Arena",1,"Enter_Zone",3
699.288,"Info","Arena",10,"Exit_Zone",4
699.288,"Info","Arena",10,"Enter_Zone",3
699.321,"Info","Arena",1,"Exit_Zone",3
699.321,"Info","Arena",1,"Enter_Zone",4
699.488,"Info","Arena",1,"Exit_Zone",4
699.488,"Info","Arena",1,"Enter_Zone",3
699.621,"Info","Arena",1,"Exit_Zone",3
699.621,"Info","Arena",1,"Enter_Zone",4
699.654,"Info","Arena",1,"Exit_Zone",4
699.654,"Info","Arena",1,"Enter_Zone",3
699.723,"Info","Arena",1,"Exit_Zone",3
699.723,"Info","Arena",1,"Enter_Zone",4
699.754,"Info","Arena",1,"Exit_Zone",4
699.754,"Info","Arena",1,"Enter_Zone",3
699.788,"Info","Arena",1,"Exit_Zone",3
699.788,"Info","Arena",1,"Enter_Zone",4
699.821,"Info","Arena",1,"Exit_Zone",4
699.821,"Info","Arena",1,"Enter_Zone",3
699.956,"Info","Arena",1,"Exit_Zone",3
699.956,"Info","Arena",1,"Enter_Zone",4
700.023,"Info","Arena",1,"Exit_Zone",4
700.023,"Info","Arena",1,"Enter_Zone",3
700.089,"Info","Arena",1,"Exit_Zone",3
700.089,"Info","Arena",1,"Enter_Zone",4
700.254,"Info","Arena",1,"Exit_Zone",4
700.254,"Info","Arena",1,"Enter_Zone",3
700.288,"Info","Arena",1,"Exit_Zone",3
700.288,"Info","Arena",1,"Enter_Zone",4
701.954,"Info","Arena",1,"Exit_Zone",4
701.954,"Info","Arena",1,"Enter_Zone",3
701.989,"Info","Arena",1,"Exit_Zone",3
701.989,"Info","Arena",1,"Enter_Zone",4
703.854,"Info","Arena",2,"Exit_Zone",2
703.854,"Info","Arena",2,"Enter_Zone",4
703.889,"Info","Arena",2,"Exit_Zone",4
703.889,"Info","Arena",2,"Enter_Zone",2
703.920,"Info","Arena",2,"Exit_Zone",2
703.920,"Info","Arena",2,"Enter_Zone",4
704.020,"Info","Arena",2,"Exit_Zone",4
704.020,"Info","Arena",2,"Enter_Zone",2
704.056,"Info","Arena",2,"Exit_Zone",2
704.056,"Info","Arena",2,"Enter_Zone",4
704.587,"Info","Arena",10,"Exit_Zone",3
704.587,"Info","Arena",10,"Enter_Zone",4
704.853,"Info","Arena",3,"Exit_Zone",2
704.853,"Info","Arena",3,"Enter_Zone",4
705.453,"Info","Arena",10,"Exit_Zone",4
705.453,"Info","Arena",10,"Enter_Zone",1
706.055,"Info","Arena",13,"Exit_Zone",3
706.055,"Info","Arena",13,"Enter_Zone",4
706.620,"Info","Arena",11,"Exit_Zone",3
