0.000,"Info","2022-06-16 03:37:09","Service 'E_ymaze_droso' : Execution start"
0.000,"Info","Subject Identification","Y068"
0.000,"Info","Apparatus","Zantiks Unit"
0.000,"Info","Unit ID","5B0E17"
"TIME","","","ARENA","ACTION","ZONE"
601.355,"Info","Arena",2,"Enter_Zone",4
601.355,"Info","Arena",4,"Enter_Zone",4
601.355,"Info","Arena",5,"Enter_Zone",3
601.355,"Info","Arena",6,"Enter_Zone",1
601.355,"Info","Arena",8,"Enter_Zone",1
601.355,"Info","Arena",9,"Enter_Zone",3
601.355,"Info","Arena",11,"Enter_Zone",4
601.355,"Info","Arena",12,"Enter_Zone",3
601.355,"Info","Arena",13,"Enter_Zone",4
601.355,"Info","Arena",14,"Enter_Zone",1
601.387,"Info","Arena",10,"Enter_Zone",1
602.286,"Info","Arena",10,"Exit_Zone",1
602.286,"Info","Arena",10,"Enter_Zone",4
602.522,"Info","Arena",11,"Exit_Zone",4
602.522,"Info","Arena",11,"Enter_Zone",3
602.986,"Info","Arena",14,"Exit_Zone",1
602.986,"Info","Arena",14,"Enter_Zone",4
603.120,"Info","Arena",4,"Exit_Zone",4
603.120,"Info","Arena",4,"Enter_Zone",1
603.356,"Info","Arena",8,"Exit_Zone",1
603.356,"Info","Arena",8,"Enter_Zone",4
603.919,"Info","Arena",10,"Exit_Zone",4
603.919,"Info","Arena",10,"Enter_Zone",2
604.386,"Info","Arena",9,"Exit_Zone",3
604.386,"Info","Arena",9,"Enter_Zone",4
607.285,"Info","Arena",10,"Exit_Zone",2
607.285,"Info","Arena",10,"Enter_Zone",4
607.385,"Info","Arena",8,"Exit_Zone",4
607.385,"Info","Arena",8,"Enter_Zone",3
607.619,"Info","Arena",14,"Exit_Zone",4
607.619,"Info","Arena",14,"Enter_Zone",1
609.085,"Info","Arena",14,"Exit_Zone",1
609.085,"Info","Arena",14,"Enter_Zone",4
609.218,"Info","Arena",10,"Exit_Zone",4
609.218,"Info","Arena",10,"Enter_Zone",3
610.118,"Info","Arena",11,"Exit_Zone",3
610.118,"Info","Arena",11,"Enter_Zone",4
610.187,"Info","Arena",14,"Exit_Zone",4
610.187,"Info","Arena",14,"Enter_Zone",3
614.028,"Info","Arena",13,"Exit_Zone",4
614.028,"Info","Arena",13,"Enter_Zone",2
616.084,"Info","Arena",10,"Exit_Zone",3
616.084,"Info","Arena",10,"Enter_Zone",4
616.186,"Info","Arena",14,"Exit_Zone",3
616.186,"Info","Arena",14,"Enter_Zone",4
617.617,"Info","Arena",4,"Exit_Zone",1
617.617,"Info","Arena",4,"Enter_Zone",4
617.617,"Info","Arena",11,"Exit_Zone",4
617.617,"Info","Arena",11,"Enter_Zone",2
617.984,"Info","Arena",10,"Exit_Zone",4
617.984,"Info","Arena",10,"Enter_Zone",1
618.187,"Info","Arena",14,"Exit_Zone",4
618.187,"Info","Arena",14,"Enter_Zone",2
619.417,"Info","Arena",13,"Exit_Zone",2
619.417,"Info","Arena",13,"Enter_Zone",4
619.852,"Info","Arena",4,"Exit_Zone",4
619.852,"Info","Arena",4,"Enter_Zone",3
622.185,"Info","Arena",13,"Exit_Zone",4
622.185,"Info","Arena",13,"Enter_Zone",1
623.382,"Info","Arena",14,"Exit_Zone",2
623.382,"Info","Arena",14,"Enter_Zone",4
625.582,"Info","Arena",14,"Exit_Zone",4
625.582,"Info","Arena",14,"Enter_Zone",1
626.315,"Info","Arena",10,"Exit_Zone",1
626.315,"Info","Arena",10,"Enter_Zone",4
626.415,"Info","Arena",11,"Exit_Zone",2
626.415,"Info","Arena",11,"Enter_Zone",4
628.648,"Info","Arena",13,"Exit_Zone",1
628.648,"Info","Arena",13,"Enter_Zone",4
629.315,"Info","Arena",10,"Exit_Zone",4
629.315,"Info","Arena",10,"Enter_Zone",2
629.948,"Info","Arena",11,"Exit_Zone",4
629.948,"Info","Arena",11,"Enter_Zone",3
630.414,"Info","Arena",4,"Exit_Zone",3
