0.000,"Info","2022-06-16 03:37:12","Service 'E_ymaze_droso' : Execution start"
0.000,"Info","Subject Identification","Y069"
0.000,"Info","Apparatus","Zantiks Unit"
0.000,"Info","Unit ID","8E63AA"
"TIME","","","ARENA","ACTION","ZONE"
601.341,"Info","Arena",1,"Enter_Zone",3
601.341,"Info","Arena",2,"Enter_Zone",1
601.341,"Info","Arena",3,"Enter_Zone",3
601.341,"Info","Arena",4,"Enter_Zone",2
601.341,"Info","Arena",5,"Enter_Zone",2
601.341,"Info","Arena",6,"Enter_Zone",4
601.341,"Info","Arena",7,"Enter_Zone",4
601.341,"Info","Arena",8,"Enter_Zone",4
601.341,"Info","Arena",9,"Enter_Zone",3
601.341,"Info","Arena",10,"Enter_Zone",4
601.341,"Info","Arena",11,"Enter_Zone",4
601.341,"Info","Arena",12,"Enter_Zone",1
601.341,"Info","Arena",13,"Enter_Zone",2
601.341,"Info","Arena",14,"Enter_Zone",2
602.538,"Info","Arena",2,"Exit_Zone",1
602.538,"Info","Arena",2,"Enter_Zone",4
602.871,"Info","Arena",1,"Exit_Zone",3
602.871,"Info","Arena",1,"Enter_Zone",4
603.304,"Info","Arena",9,"Exit_Zone",3
603.304,"Info","Arena",9,"Enter_Zone",4
603.371,"Info","Arena",9,"Exit_Zone",4
603.371,"Info","Arena",9,"Enter_Zone",3
603.571,"Info","Arena",7,"Exit_Zone",4
603.571,"Info","Arena",7,"Enter_Zone",2
603.637,"Info","Arena",10,"Exit_Zone",4
603.637,"Info","Arena",10,"Enter_Zone",2
603.673,"Info","Arena",9,"Exit_Zone",3
603.673,"Info","Arena",9,"Enter_Zone",4
603.704,"Info","Arena",9,"Exit_Zone",4
603.704,"Info","Arena",9,"Enter_Zone",3
603.737,"Info","Arena",9,"Exit_Zone",3
603.737,"Info","Arena",9,"Enter_Zone",4
604.304,"Info","Arena",5,"Exit_Zone",2
604.304,"Info","Arena",5,"Enter_Zone",4
604.772,"Info","Arena",1,"Exit_Zone",4
604.772,"Info","Arena",1,"Enter_Zone",2
604.870,"Info","Arena",4,"Exit_Zone",2
604.870,"Info","Arena",4,"Enter_Zone",4
605.175,"Info","Arena",2,"Exit_Zone",4
605.175,"Info","Arena",2,"Enter_Zone",3
605.705,"Info","Arena",4,"Exit_Zone",4
605.705,"Info","Arena",4,"Enter_Zone",1
606.341,"Info","Arena",5,"Exit_Zone",4
606.341,"Info","Arena",5,"Enter_Zone",3
606.638,"Info","Arena",9,"Exit_Zone",4
606.638,"Info","Arena",9,"Enter_Zone",1
609.673,"Info","Arena",4,"Exit_Zone",1
609.673,"Info","Arena",4,"Enter_Zone",4
609.771,"Info","Arena",1,"Exit_Zone",2
609.771,"Info","Arena",1,"Enter_Zone",4
611.069,"Info","Arena",5,"Exit_Zone",3
611.069,"Info","Arena",5,"Enter_Zone",4
611.105,"Info","Arena",4,"Exit_Zone",4
611.105,"Info","Arena",4,"Enter_Zone",3
611.905,"Info","Arena",12,"Exit_Zone",1
611.905,"Info","Arena",12,"Enter_Zone",4
613.602,"Info","Arena",8,"Exit_Zone",4
613.602,"Info","Arena",8,"Enter_Zone",3
613.672,"Info","Arena",3,"Exit_Zone",3
613.672,"Info","Arena",3,"Enter_Zone",4
614.102,"Info","Arena",5,"Exit_Zone",4
614.102,"Info","Arena",5,"Enter_Zone",1
614.135,"Info","Arena",5,"Exit_Zone",1
614.135,"Info","Arena",5,"Enter_Zone",4
614.269,"Info","Arena",4,"Exit_Zone",3
614.269,"Info","Arena",4,"Enter_Zone",4
614.369,"Info","Arena",5,"Exit_Zone",4
614.369,"Info","Arena",5,"Enter_Zone",1
614.402,"Info","Arena",1,"Exit_Zone",4
614.402,"Info","Arena",1,"Enter_Zone",1
614.402,"Info","Arena",5,"Exit_Zone",1
614.402,"Info","Arena",5,"Enter_Zone",4
614.602,"Info","Arena",8,"Exit_Zone",3
614.602,"Info","Arena",8,"Enter_Zone",4
614.838,"Info","Arena",5,"Exit_Zone",4
614.838,"Info","Arena",5,"Enter_Zone",1
614.868,"Info","Arena",5,"Exit_Zone",1
614.868,"Info","Arena",5,"Enter_Zone",4
614.902,"Info","Arena",5,"Exit_Zone",4
614.902,"Info","Arena",5,"Enter_Zone",1
614.935,"Info","Arena",5,"Exit_Zone",1
614.935,"Info","Arena",5,"Enter_Zone",4
614.968,"Info","Arena",5,"Exit_Zone",4
614.968,"Info","Arena",5,"Enter_Zone",1
615.005,"Info","Arena",5,"Exit_Zone",1
615.005,"Info","Arena",5,"Enter_Zone",4
615.035,"Info","Arena",5,"Exit_Zone",4
615.035,"Info","Arena",5,"Enter_Zone",1
615.102,"Info","Arena",5,"Exit_Zone",1
615.102,"Info","Arena",5,"Enter_Zone",4
615.135,"Info","Arena",5,"Exit_Zone",4
615.135,"Info","Arena",5,"Enter_Zone",1
615.302,"Info","Arena",4,"Exit_Zone",4
615.302,"Info","Arena",4,"Enter_Zone",2
615.338,"Info","Arena",5,"Exit_Zone",1
615.338,"Info","Arena",5,"Enter_Zone",4
615.402,"Info","Arena",5,"Exit_Zone",4
615.402,"Info","Arena",5,"Enter_Zone",1
616.468,"Info","Arena",10,"Exit_Zone",2
616.468,"Info","Arena",10,"Enter_Zone",4
616.568,"Info","Arena",3,"Exit_Zone",4
616.568,"Info","Arena",3,"Enter_Zone",2
617.201,"Info","Arena",12,"Exit_Zone",4
617.201,"Info","Arena",12,"Enter_Zone",3
618.004,"Info","Arena",8,"Exit_Zone",4
618.004,"Info","Arena",8,"Enter_Zone",1
618.534,"Info","Arena",5,"Exit_Zone",1
618.534,"Info","Arena",5,"Enter_Zone",4
618.568,"Info","Arena",5,"Exit_Zone",4
618.568,"Info","Arena",5,"Enter_Zone",1
618.901,"Info","Arena",4,"Exit_Zone",2
618.901,"Info","Arena",4,"Enter_Zone",4
618.968,"Info","Arena",7,"Exit_Zone",2
618.968,"Info","Arena",7,"Enter_Zone",4
619.004,"Info","Arena",7,"Exit_Zone",4
619.004,"Info","Arena",7,"Enter_Zone",2
619.068,"Info","Arena",7,"Exit_Zone",2
619.068,"Info","Arena",7,"Enter_Zone",4
619.101,"Info","Arena",7,"Exit_Zone",4
619.101,"Info","Arena",7,"Enter_Zone",2
619.201,"Info","Arena",7,"Exit_Zone",2
619.201,"Info","Arena",7,"Enter_Zone",4
619.234,"Info","Arena",7,"Exit_Zone",4
619.234,"Info","Arena",7,"Enter_Zone",2
619.268,"Info","Arena",7,"Exit_Zone",2
619.268,"Info","Arena",7,"Enter_Zone",4
619.670,"Info","Arena",2,"Exit_Zone",3
619.670,"Info","Arena",2,"Enter_Zone",4
619.867,"Info","Arena",5,"Exit_Zone",1
619.867,"Info","Arena",5,"Enter_Zone",4
619.901,"Info","Arena",5,"Exit_Zone",4
619.901,"Info","Arena",5,"Enter_Zone",1
