0.000,"Info","2001-04-08 00:29:43","Service 'E_ymaze_droso' : Execution start"
0.000,"Info","Subject Identification","Y006"
0.000,"Info","Apparatus","Zantiks Unit"
0.000,"Info","Unit ID","0107D3"
"TIME","","","ARENA","ACTION","ZONE"
601.357,"Info","Arena",1,"Enter_Zone",3
601.357,"Info","Arena",2,"Enter_Zone",1
601.357,"Info","Arena",3,"Enter_Zone",3
601.357,"Info","Arena",4,"Enter_Zone",1
601.357,"Info","Arena",6,"Enter_Zone",3
601.357,"Info","Arena",8,"Enter_Zone",4
601.357,"Info","Arena",9,"Enter_Zone",1
601.357,"Info","Arena",10,"Enter_Zone",2
601.357,"Info","Arena",11,"Enter_Zone",3
601.357,"Info","Arena",12,"Enter_Zone",4
601.357,"Info","Arena",13,"Enter_Zone",4
601.357,"Info","Arena",14,"Enter_Zone",4
602.925,"Info","Arena",13,"Exit_Zone",4
602.925,"Info","Arena",13,"Enter_Zone",2
606.656,"Info","Arena",14,"Exit_Zone",4
606.656,"Info","Arena",14,"Enter_Zone",1
609.122,"Info","Arena",13,"Exit_Zone",2
609.122,"Info","Arena",13,"Enter_Zone",4
617.922,"Info","Arena",13,"Exit_Zone",4
617.922,"Info","Arena",13,"Enter_Zone",3
624.119,"Info","Arena",14,"Exit_Zone",1
624.119,"Info","Arena",14,"Enter_Zone",4
628.118,"Info","Arena",10,"Exit_Zone",2
628.118,"Info","Arena",10,"Enter_Zone",4
628.318,"Info","Arena",13,"Exit_Zone",3
628.318,"Info","Arena",13,"Enter_Zone",4
636.719,"Info","Arena",13,"Exit_Zone",4
636.719,"Info","Arena",13,"Enter_Zone",1
638.983,"Info","Arena",8,"Exit_Zone",4
638.983,"Info","Arena",8,"Enter_Zone",2
639.016,"Info","Arena",8,"Exit_Zone",2
639.016,"Info","Arena",8,"Enter_Zone",4
646.981,"Info","Arena",5,"Enter_Zone",1
649.014,"Info","Arena",13,"Exit_Zone",1
649.014,"Info","Arena",13,"Enter_Zone",4
650.314,"Info","Arena",10,"Exit_Zone",4
650.314,"Info","Arena",10,"Enter_Zone",2
650.347,"Info","Arena",10,"Exit_Zone",2
650.347,"Info","Arena",10,"Enter_Zone",4
650.382,"Info","Arena",10,"Exit_Zone",4
650.382,"Info","Arena",10,"Enter_Zone",2
650.414,"Info","Arena",10,"Exit_Zone",2
650.414,"Info","Arena",10,"Enter_Zone",4
650.447,"Info","Arena",10,"Exit_Zone",4
650.447,"Info","Arena",10,"Enter_Zone",2
657.413,"Info","Arena",13,"Exit_Zone",4
657.413,"Info","Arena",13,"Enter_Zone",2
668.577,"Info","Arena",13,"Exit_Zone",2
668.577,"Info","Arena",13,"Enter_Zone",4
669.177,"Info","Arena",10,"Exit_Zone",2
669.177,"Info","Arena",10,"Enter_Zone",4
671.609,"Info","Arena",13,"Exit_Zone",4
671.609,"Info","Arena",13,"Enter_Zone",1
672.378,"Info","Arena",10,"Exit_Zone",4
672.378,"Info","Arena",10,"Enter_Zone",1
687.673,"Info","Arena",13,"Exit_Zone",1
