0.000,"Info","2022-05-30 23:59:24","Service 'E_ymaze_droso' : Execution start"
0.000,"Info","Subject Identification","Y002"
0.000,"Info","Apparatus","Zantiks Unit"
0.000,"Info","Unit ID","8E63AA"
"TIME","","","ARENA","ACTION","ZONE"
601.432,"Info","Arena",1,"Enter_Zone",4
601.432,"Info","Arena",2,"Enter_Zone",2
601.432,"Info","Arena",3,"Enter_Zone",4
601.432,"Info","Arena",4,"Enter_Zone",1
601.432,"Info","Arena",5,"Enter_Zone",3
601.432,"Info","Arena",6,"Enter_Zone",1
601.432,"Info","Arena",8,"Enter_Zone",2
601.432,"Info","Arena",9,"Enter_Zone",3
601.432,"Info","Arena",10,"Enter_Zone",4
601.432,"Info","Arena",11,"Enter_Zone",4
601.432,"Info","Arena",12,"Enter_Zone",4
601.432,"Info","Arena",13,"Enter_Zone",3
601.432,"Info","Arena",14,"Enter_Zone",4
602.229,"Info","Arena",6,"Exit_Zone",1
602.229,"Info","Arena",6,"Enter_Zone",4
605.098,"Info","Arena",10,"Exit_Zone",4
605.098,"Info","Arena",10,"Enter_Zone",2
606.228,"Info","Arena",14,"Exit_Zone",4
606.228,"Info","Arena",14,"Enter_Zone",3
606.764,"Info","Arena",6,"Exit_Zone",4
606.764,"Info","Arena",6,"Enter_Zone",2
608.128,"Info","Arena",9,"Exit_Zone",3
608.128,"Info","Arena",9,"Enter_Zone",4
614.460,"Info","Arena",10,"Exit_Zone",2
614.460,"Info","Arena",10,"Enter_Zone",4
614.560,"Info","Arena",6,"Exit_Zone",2
614.560,"Info","Arena",6,"Enter_Zone",4
617.559,"Info","Arena",10,"Exit_Zone",4
617.559,"Info","Arena",10,"Enter_Zone",1
618.192,"Info","Arena",6,"Exit_Zone",4
618.192,"Info","Arena",6,"Enter_Zone",3
620.225,"Info","Arena",2,"Exit_Zone",2
620.225,"Info","Arena",2,"Enter_Zone",4
623.791,"Info","Arena",10,"Exit_Zone",1
623.791,"Info","Arena",10,"Enter_Zone",4
624.025,"Info","Arena",9,"Exit_Zone",4
624.025,"Info","Arena",9,"Enter_Zone",1
624.824,"Info","Arena",10,"Exit_Zone",4
624.824,"Info","Arena",10,"Enter_Zone",3
626.857,"Info","Arena",6,"Exit_Zone",3
626.857,"Info","Arena",6,"Enter_Zone",4
627.624,"Info","Arena",2,"Exit_Zone",4
627.624,"Info","Arena",2,"Enter_Zone",3
629.224,"Info","Arena",6,"Exit_Zone",4
629.224,"Info","Arena",6,"Enter_Zone",1
634.259,"Info","Arena",9,"Exit_Zone",1
634.259,"Info","Arena",9,"Enter_Zone",4
634.889,"Info","Arena",9,"Exit_Zone",4
634.889,"Info","Arena",9,"Enter_Zone",1
636.258,"Info","Arena",8,"Exit_Zone",2
636.258,"Info","Arena",8,"Enter_Zone",4
636.356,"Info","Arena",9,"Exit_Zone",1
636.356,"Info","Arena",9,"Enter_Zone",4
640.188,"Info","Arena",6,"Exit_Zone",1
640.188,"Info","Arena",6,"Enter_Zone",4
641.554,"Info","Arena",2,"Exit_Zone",3
641.554,"Info","Arena",2,"Enter_Zone",4
642.621,"Info","Arena",6,"Exit_Zone",4
642.621,"Info","Arena",6,"Enter_Zone",3
642.888,"Info","Arena",12,"Exit_Zone",4
642.888,"Info","Arena",12,"Enter_Zone",1
644.923,"Info","Arena",2,"Exit_Zone",4
644.923,"Info","Arena",2,"Enter_Zone",1
645.787,"Info","Arena",10,"Exit_Zone",3
645.787,"Info","Arena",10,"Enter_Zone",4
646.590,"Info","Arena",6,"Exit_Zone",3
646.590,"Info","Arena",6,"Enter_Zone",4
647.256,"Info","Arena",13,"Exit_Zone",3
647.256,"Info","Arena",13,"Enter_Zone",4
648.820,"Info","Arena",6,"Exit_Zone",4
648.820,"Info","Arena",6,"Enter_Zone",2
649.256,"Info","Arena",13,"Exit_Zone",4
649.256,"Info","Arena",13,"Enter_Zone",2
650.186,"Info","Arena",10,"Exit_Zone",4
650.186,"Info","Arena",10,"Enter_Zone",1
658.318,"Info","Arena",6,"Exit_Zone",2
658.318,"Info","Arena",6,"Enter_Zone",4
659.451,"Info","Arena",10,"Exit_Zone",1
659.451,"Info","Arena",10,"Enter_Zone",4
661.051,"Info","Arena",6,"Exit_Zone",4
661.051,"Info","Arena",6,"Enter_Zone",3
665.183,"Info","Arena",9,"Exit_Zone",4
665.183,"Info","Arena",9,"Enter_Zone",3
665.550,"Info","Arena",10,"Exit_Zone",4
665.550,"Info","Arena",10,"Enter_Zone",3
666.116,"Info","Arena",3,"Exit_Zone",4
666.116,"Info","Arena",3,"Enter_Zone",2
666.253,"Info","Arena",2,"Exit_Zone",1
666.253,"Info","Arena",2,"Enter_Zone",4
667.016,"Info","Arena",12,"Exit_Zone",1
667.016,"Info","Arena",12,"Enter_Zone",4
668.183,"Info","Arena",6,"Exit_Zone",3
668.183,"Info","Arena",6,"Enter_Zone",4
669.549,"Info","Arena",14,"Exit_Zone",3
669.549,"Info","Arena",14,"Enter_Zone",4
670.149,"Info","Arena",10,"Exit_Zone",3
670.149,"Info","Arena",10,"Enter_Zone",4
670.849,"Info","Arena",6,"Exit_Zone",4
670.849,"Info","Arena",6,"Enter_Zone",1
670.918,"Info","Arena",10,"Exit_Zone",4
670.918,"Info","Arena",10,"Enter_Zone",3
672.418,"Info","Arena",2,"Exit_Zone",4
672.418,"Info","Arena",2,"Enter_Zone",2
672.516,"Info","Arena",14,"Exit_Zone",4
672.516,"Info","Arena",14,"Enter_Zone",1
672.648,"Info","Arena",10,"Exit_Zone",3
672.648,"Info","Arena",10,"Enter_Zone",4
