0.000,"Info","2001-04-07 23:26:35","Service 'E_ymaze_droso_30' : Execution start"
0.000,"Info","Subject Identification","Y003"
0.000,"Info","Apparatus","Zantiks Unit"
0.000,"Info","Unit ID","0107D3"
"TIME","","","ARENA","ACTION","ZONE"
601.427,"Info","Arena",1,"Enter_Zone",1
601.427,"Info","Arena",2,"Enter_Zone",4
601.427,"Info","Arena",3,"Enter_Zone",4
601.427,"Info","Arena",4,"Enter_Zone",3
601.427,"Info","Arena",5,"Enter_Zone",3
601.427,"Info","Arena",6,"Enter_Zone",1
601.427,"Info","Arena",7,"Enter_Zone",3
601.427,"Info","Arena",8,"Enter_Zone",3
601.427,"Info","Arena",9,"Enter_Zone",2
601.427,"Info","Arena",10,"Enter_Zone",1
601.427,"Info","Arena",11,"Enter_Zone",3
601.427,"Info","Arena",12,"Enter_Zone",4
601.427,"Info","Arena",13,"Enter_Zone",1
601.427,"Info","Arena",14,"Enter_Zone",3
601.427,"Info","Arena",15,"Enter_Zone",2
601.480,"Info","Arena",15,"Exit_Zone",2
601.480,"Info","Arena",15,"Enter_Zone",4
601.558,"Info","Arena",15,"Exit_Zone",4
601.558,"Info","Arena",15,"Enter_Zone",3
601.593,"Info","Arena",15,"Exit_Zone",3
601.593,"Info","Arena",15,"Enter_Zone",4
601.625,"Info","Arena",15,"Exit_Zone",4
601.625,"Info","Arena",15,"Enter_Zone",3
601.658,"Info","Arena",15,"Exit_Zone",3
601.658,"Info","Arena",15,"Enter_Zone",2
601.724,"Info","Arena",15,"Exit_Zone",2
601.724,"Info","Arena",15,"Enter_Zone",3
601.760,"Info","Arena",15,"Exit_Zone",3
601.760,"Info","Arena",15,"Enter_Zone",4
601.791,"Info","Arena",15,"Exit_Zone",4
601.791,"Info","Arena",15,"Enter_Zone",2
601.824,"Info","Arena",15,"Exit_Zone",2
601.824,"Info","Arena",15,"Enter_Zone",4
601.858,"Info","Arena",12,"Exit_Zone",4
601.858,"Info","Arena",12,"Enter_Zone",3
601.858,"Info","Arena",15,"Exit_Zone",4
601.858,"Info","Arena",15,"Enter_Zone",3
601.891,"Info","Arena",15,"Exit_Zone",3
601.891,"Info","Arena",15,"Enter_Zone",4
601.926,"Info","Arena",15,"Exit_Zone",4
601.926,"Info","Arena",15,"Enter_Zone",2
602.058,"Info","Arena",15,"Exit_Zone",2
602.058,"Info","Arena",15,"Enter_Zone",3
602.093,"Info","Arena",15,"Exit_Zone",3
602.093,"Info","Arena",15,"Enter_Zone",1
602.125,"Info","Arena",15,"Exit_Zone",1
602.125,"Info","Arena",15,"Enter_Zone",3
602.158,"Info","Arena",15,"Exit_Zone",3
602.158,"Info","Arena",15,"Enter_Zone",4
602.191,"Info","Arena",15,"Exit_Zone",4
602.191,"Info","Arena",15,"Enter_Zone",2
602.260,"Info","Arena",15,"Exit_Zone",2
602.260,"Info","Arena",15,"Enter_Zone",3
602.291,"Info","Arena",15,"Exit_Zone",3
602.291,"Info","Arena",15,"Enter_Zone",2
602.324,"Info","Arena",15,"Exit_Zone",2
602.324,"Info","Arena",15,"Enter_Zone",4
602.358,"Info","Arena",15,"Exit_Zone",4
602.358,"Info","Arena",15,"Enter_Zone",1
602.391,"Info","Arena",15,"Exit_Zone",1
602.391,"Info","Arena",15,"Enter_Zone",4
602.491,"Info","Arena",15,"Exit_Zone",4
602.491,"Info","Arena",15,"Enter_Zone",1
602.524,"Info","Arena",15,"Exit_Zone",1
602.524,"Info","Arena",15,"Enter_Zone",3
602.558,"Info","Arena",15,"Exit_Zone",3
602.558,"Info","Arena",15,"Enter_Zone",2
602.593,"Info","Arena",15,"Exit_Zone",2
602.593,"Info","Arena",15,"Enter_Zone",3
602.658,"Info","Arena",15,"Exit_Zone",3
602.658,"Info","Arena",15,"Enter_Zone",2
602.724,"Info","Arena",15,"Exit_Zone",2
602.724,"Info","Arena",15,"Enter_Zone",4
602.760,"Info","Arena",15,"Exit_Zone",4
602.760,"Info","Arena",15,"Enter_Zone",2
602.858,"Info","Arena",15,"Exit_Zone",2
602.858,"Info","Arena",15,"Enter_Zone",3
602.926,"Info","Arena",15,"Exit_Zone",3
602.926,"Info","Arena",15,"Enter_Zone",2
602.958,"Info","Arena",15,"Exit_Zone",2
602.958,"Info","Arena",15,"Enter_Zone",3
602.991,"Info","Arena",15,"Exit_Zone",3
602.991,"Info","Arena",15,"Enter_Zone",2
603.024,"Info","Arena",15,"Exit_Zone",2
603.024,"Info","Arena",15,"Enter_Zone",4
603.058,"Info","Arena",15,"Exit_Zone",4
603.058,"Info","Arena",15,"Enter_Zone",2
603.124,"Info","Arena",15,"Exit_Zone",2
603.124,"Info","Arena",15,"Enter_Zone",3
603.158,"Info","Arena",15,"Exit_Zone",3
603.158,"Info","Arena",15,"Enter_Zone",4
603.191,"Info","Arena",15,"Exit_Zone",4
603.191,"Info","Arena",15,"Enter_Zone",3
603.224,"Info","Arena",15,"Exit_Zone",3
603.224,"Info","Arena",15,"Enter_Zone",2
603.259,"Info","Arena",15,"Exit_Zone",2
603.259,"Info","Arena",15,"Enter_Zone",4
603.291,"Info","Arena",15,"Exit_Zone",4
603.291,"Info","Arena",15,"Enter_Zone",2
603.464,"Info","Arena",15,"Exit_Zone",2
603.464,"Info","Arena",15,"Enter_Zone",4
603.491,"Info","Arena",15,"Exit_Zone",4
603.491,"Info","Arena",15,"Enter_Zone",3
603.557,"Info","Arena",15,"Exit_Zone",3
603.557,"Info","Arena",15,"Enter_Zone",4
603.593,"Info","Arena",15,"Exit_Zone",4
603.593,"Info","Arena",15,"Enter_Zone",2
603.624,"Info","Arena",15,"Exit_Zone",2
603.624,"Info","Arena",15,"Enter_Zone",4
603.691,"Info","Arena",15,"Exit_Zone",4
603.691,"Info","Arena",15,"Enter_Zone",2
603.724,"Info","Arena",15,"Exit_Zone",2
603.724,"Info","Arena",15,"Enter_Zone",4
603.759,"Info","Arena",15,"Exit_Zone",4
603.759,"Info","Arena",15,"Enter_Zone",2
603.791,"Info","Arena",15,"Exit_Zone",2
603.791,"Info","Arena",15,"Enter_Zone",4
603.824,"Info","Arena",15,"Exit_Zone",4
603.824,"Info","Arena",15,"Enter_Zone",2
603.957,"Info","Arena",15,"Exit_Zone",2
603.957,"Info","Arena",15,"Enter_Zone",3
603.991,"Info","Arena",15,"Exit_Zone",3
603.991,"Info","Arena",15,"Enter_Zone",1
604.024,"Info","Arena",15,"Exit_Zone",1
604.024,"Info","Arena",15,"Enter_Zone",3
604.057,"Info","Arena",15,"Exit_Zone",3
604.057,"Info","Arena",15,"Enter_Zone",2
604.093,"Info","Arena",15,"Exit_Zone",2
604.093,"Info","Arena",15,"Enter_Zone",3
604.191,"Info","Arena",15,"Exit_Zone",3
604.191,"Info","Arena",15,"Enter_Zone",4
604.224,"Info","Arena",15,"Exit_Zone",4
604.224,"Info","Arena",15,"Enter_Zone",2
